en_text,jp_text,google_translated,score,semantic_score
Hey.,≪ 《やあ。　調子は　どうだい？》→,"«"" Yo.How is he?""→",0.0,0.17164163
"The competition is coming up soon, isn't it?",《もうすぐだね　コンクール》,"""It's coming soon contest""",0.21428571428571427,0.60729027
You shouldn't worry.,《怖がるなよ。 気にしない　気にしない》→,"""Don't fear.I do not mind I do not mind ""→",0.08333333333333333,0.33848807
So what if you get humiliated or they all laugh at you?,《恥かいたって 笑われたって　いいじゃん》→,"""I'm shameful and laughed"" →",0.0,0.3651772
It's not like they're going to abandon you.,《捨てられるわけじゃないし》,"""I'm not sure""",0.0625,0.13537404
"You're no Beethoven, after all.",《君は ベートーベンじゃないもんな》→,"""You are not Bethben"" →",0.07142857142857142,0.35229507
"Nor are you Chopin, of course.",《もちろん　ショパンでもない》,"""Of course no Chopin""",0.2727272727272727,0.67400855
who are you?,《君は　誰だい？》→,"""Who are you?""→",0.6666666666666666,0.47936398
Where are you?,《君は　どこに　いるんだい？》→,"""Where are you?""→",0.6666666666666666,0.38641524
"Now, then. are you ready for your journey to begin?",《さあ　旅の準備は できたかい？》,"""I'm ready for a trip?""",0.15789473684210525,0.44366342
He's cutting in from the right!,カバー。 右から　来たぞ。,cover.I'm from the right.,0.2727272727272727,0.337358
They switched. go for it!,入れ替わった。 いけーっ！,I changed it.Sorry!,0.1,0.24186537
All right!,やったー！,Yay!,0.25,0.47131705
The whistle echoed sharply across the bright blue sky.,＜そのホイッスルは 澄み切った空に　乱反射した＞,<The whistle was disturbed in a clear sky>,0.1875,0.7589906
So Watari ended up losing too...,渡も　負けちゃったか。　残念。,Did you lose passing? disappointing.,0.0,0.41443548
"What a shame. hey, don't cry. we gave it our best shot, didn't we?",泣くなよ。 精いっぱい　やったろ。→,Don't cry.I have done it.→,0.09523809523809523,0.4986665
Come on. Let's go shake hands.,ほら。　挨拶。,. greeting.,0.1111111111111111,0.38954604
You were great out there.,カッコ良かったよ。,It was cool.,0.1111111111111111,0.41936168
"Well, I missed my chance to become a star.",スターに　なり損ねちまった。,I lost my star and lost.,0.3076923076923077,0.66808957
It's up to you now.,あとは　お前に任せるわ。,After that I will leave it to you.,0.3333333333333333,0.46854797
We'll give it another shot in high school.,また　高校でも　やろうぜ。 渡…。,Let's go in high school again.Pass ...,0.2,0.6169026
"Seriously, you were great.",ホントに　カッコ良かったよ。,It was really cool.,0.1,0.4170074
"So I'll have to wait till high school to become a star, huh?",スターになるのは　高校でか。,Is it high school to be a star?,0.3333333333333333,0.8547598
Watari and Tsubaki's last junior-high tournaments are over.,＜渡と　椿。 中学　最後の大会が終わった＞,<Wataru and rose.Junior high school last tournament has ended>,0.10526315789473684,0.670583
I know my set piece by heart at this point.,＜選択した課題曲も 暗譜で　弾けるようにはなった＞,<The selected challenge song also became possible to play with the notch>,0.0,0.25901097
"Arima, we're in the middle of class here! Dial it down!",有馬！　授業中だ！　うるさいぞ！,Arima!I am in class!Uruse!,0.2352941176470588,0.8325452
Three more laps!,あと　３周。,Three more rounds.,0.3333333333333333,0.5490747
Watari and Tsubaki both shined.,＜渡や　椿は　輝いていた。 そして　君も＞,<Watarashi and rose were shining.And you too>,0.07142857142857142,0.49945372
You had such a commanding presence.,＜りんとして　そこにいた＞,<Rin and I was there>,0.0,0.3665295
Have I reached that level of understanding?,＜僕は　深く理解できたの？＞,<Did you understand deeply?>,0.07142857142857142,0.50211453
Have I made Chopin my own?,＜ショパンを自分のものに できたのか？＞,<Did you make Chopin your own?>,0.2307692307692308,0.9152627
Can I be heard somewhere,＜譜面をなぞった　音楽の中に 僕がいるのか？＞,<Are you in the music that traced the music?>,0.0,0.40657383
Where are you in all this?,《ここの　どこに 君がいるの？》,"""Where are you here?""",0.4,0.5141469
Go get the nurse.,誰か　水！ 保健室の先生　呼んでこい。,Someone water!Call a teacher in the health room.,0.14285714285714285,0.5314603
I don't know...,＜分からない…＞,<I do not know ...>,0.5,0.5993169
I can't believe you!,信じられない！,can not believe it!,0.2222222222222222,0.7604076
"What was I supposed to do?  I was totally immersed, you know.",仕方ないだろ。 没頭してたんだから。,It can not be helped.Because I was immersed.,0.2222222222222222,0.61944705
All five of them.,５パック。 ５…！？,5 packs.5 ...!?,0.0,0.36339945
It's a kitty!,あっ　ニャンコ。,Nyanko.,0.0,0.11226441
Are you all right? there should be a park near here...,大丈夫？ 近くに　公園あるから。,fine?Because there is a park nearby.,0.2222222222222222,0.6993429
"When I was a kid,",子供のころ　黒猫を飼ってたんだ。,I kept the black cat.,0.09090909090909093,0.3641454
"I had a black cat. she would eat my candy whenever i wasn't looking,",目を離した隙に 僕のあめを食べていたから→,I ate my love for the gap I got off →,0.08333333333333333,0.3715282
so I named her Chelsea after the brand.,名前は　チェルシー。,The name is Chelsea.,0.2727272727272727,0.7428864
"I was fooling around with Chelsea, as usual.",いつものように　チェルシーと じゃれていたんだ。,"As always, it was Celsea.",0.3076923076923077,0.2516677
I guess I got on her nerves after a while.,きっと　構い過ぎたんだろうな。,I'm surely overwhelmed.,0.15384615384615385,0.17049412
"One day, she scratched my hand.",ある日　僕の手を　ひっかいたんだ。,One day I caught my hand.,0.5,0.6347485
"The blood wouldn't stop, and I was so scared.",血が　どばどば　止まらなくて 焦ったよ。,I was impatient that blood stopped.,0.26666666666666666,0.760061
"The next day, my mother just up and got rid of her.",次の日　母親が　捨てに行ったよ。,The next day mother went to throw away.,0.2777777777777778,0.71526384
I'm doing this for you.,《あなたのためよ》,"""For you""",0.2222222222222222,0.3508788
The scars Chelsea left me remind me of my mother.,チェルシーの残した傷は 母さんを思わせる。,The wound left by Chelsea lets you think of Mother.,0.4,0.7330485
Who would've thought this'd be one of the few memories of her I'd have left?,こんなのが 数少ない　思い出だなんて。,Such a few memories.,0.1,0.5487638
I just stared at her back without saying a word as she took Chelsea away from me.,チェルシーを捨てに行く 母さんの後ろ姿を→,The back of the mother who goes away from Chelsea →,0.16666666666666666,0.5651039
I could've told her to stop. I could've told her to wait.,「やめて」とか　「待って」とか→,"""Stop"" or ""Wait"" →",0.15384615384615385,0.43796593
"If I'd done something about it, things might be different now.",何か言えば 変わっていたのかもしれない。,It may have changed if anything.,0.16666666666666666,0.5092076
I've been a shadow of my mother ever since.,あの日から　僕は 母さんの　影の中にいる。,From that day I am in the shadow of my mother.,0.35294117647058826,0.81027704
"And who knew? You have a sweet tooth, too.",意外にも　甘い物も　好き。 運動は　苦手。,"Surprisingly, I also like sweet things.She is not good at exercising.",0.13636363636363635,0.39417356
"You're not good at sports, you're no match for tsubaki,",椿ちゃんに　頭が上がらなくて→,I have no head to Mi-chan →,0.05882352941176471,0.17138834
and you're a little jealous of Watari the chick-magnet.,モテる　渡君が ちょっと　うらやましい。,Mote Tatsumi is a bit envious.,0.125,0.3328995
You're not a shadow of your mother at all.,君は　お母さんの 影なんかじゃないよ。　君は君だよ。,You're not a shadow of your mother.You are you.,0.6153846153846154,0.9481859
It's not so hard to define who you are.,君らしく… なんて　曖昧なものじゃない。,Thank you very much ... is not vague.,0.17647058823529413,0.08553872
It doesn't matter what you do or how you change.,何やったって 変わったって　関係ない。,It doesn't matter what you changed.,0.5833333333333334,0.72670865
"No matter what, you'll always be you.",君は　どうせ　君だよ。,You are all about you.,0.16666666666666666,0.53339183
