en_text,jp_text,google_translated,score,semantic_score
A little snake bite isn't going to stop General Hak.,蛇に噛まれたくらいでどうにかなる ハク将軍じゃありません,It is not a hook generally whatever you want to be bitten by the snake,0.17391304347826084,0.45662004
Then where are we going?,じゃ 今どこへ向かってるの,So I'm going to,0.1,0.41260412
Probably the only place we can count on now.,恐らく今 俺らにとって唯一頼れる場所,Perhaps the place where you can only rely on us now,0.4,0.53606886
Does guard duty mean nap time in this tribe?,見張りはお昼寝の時間か この部族は,Weekly is a nap time or this tribe,0.2857142857142857,0.6578021
Hey.,ハク様？,Haku?,0.0,0.16202904
It's been a while. Ten years?,あ 久しぶり 十年ぶり,After a long time since ten years,0.2307692307692308,0.70898974
We're the Wind Tribe.,我らは風の部族,We are a tribal,0.1111111111111111,0.6019739
We live only as the wind blows.,風の赴くまま逆らわずに生きるのであります,It will live in the vice versa with the wind of the wind,0.2,0.5685182
Who put you guys on guard duty?,誰だ こんな奴らに見張りにしたの,Who was looking at such guys,0.16666666666666666,0.25927863
"Hey, that's Lord Hak!",あれ ハク様じゃないか,Isn't it Haku?,0.0,0.41534245
"Please, one at a time.",頼むから一人つつ喋ってくれ,I asked me one by asking,0.08333333333333333,0.4170956
Looks like they haven't heard  anything from the castle yet.,まだ城から何も聞いてね様だな,I still hear anything from the castle,0.26666666666666666,0.72914284
"No, she's a court lady in training.",違う 城の見習い女官だ,Different castle apprentice,0.0,0.23303406
No way! So what's your name?,嘘だ な 名前は,The name is a lie,0.07692307692307693,0.27481282
Where are you from? Are you from the Sky capital?,出身は もしかして空都,Originated,0.0,0.2996839
"Hey, what's Hiryuu Castle like?",ねね 緋龍城ってどんなとこ,Nene Aoi Ryu Castle,0.09090909090909093,0.4595834
Prepare a bed and food immediately.,すぐに寝所と食事の用意を,Soon after the bedroom and food,0.18181818181818185,0.5857029
The young lord's being kind to a woman.,あの若長が女性に優しくしている,That younger is kind to women,0.14285714285714285,0.5939815
The five tribes were suddenly summoned to a meeting at the castle.,急に城から五部族召集令が下ったんだよ,Suddenly the five tribal calls came down from the castle,0.2352941176470588,0.70716673
"Normally, the young lords of the castle attend.",普通なら 城に居る若長が出席すればいいでしょう,"If you are normal, you should attend a young man in the castle",0.29411764705882354,0.6503408
"I thought it was strange that they summoned Elder Mun-deok,",既に将軍を退いたムンドク長老が呼ばれたから 変だなと思ったんだ,I thought it was strange because Mundok elders who have already retired from the general,0.2380952380952381,0.47903052
"Lord Hak, were you really fired?",ハク様やっぱり首ですか,Is it a neck?,0.08333333333333333,0.08913458
"We're called here suddenly,  and they tell us the king is dead?",急な呼び出しがあったかと思えば 国王崩御だと,"If you think that there was a sudden call, it is the king",0.16,0.64666224
Princess Yona and General Hak are missing too.,ヨナ姫もソンハク将軍も行方不明だの事,Song-Haku General is also unknown,0.07692307692307693,0.45510837
