en_text,jp_text,google_translated,score,semantic_score
Where is your father?,父親はどこだ,Where is the father,0.5,0.79723215
Not with me. i don't know where he is.,いない　どこにいるか知らない,I do not know where I am,0.4166666666666667,0.33539736
You really shouldn't lie.,嘘をつくのはよくないな,It is not good to lie,0.09090909090909093,0.6787358
I really don't know where he is.,ホントに親父の行方は知らないんだ,I really don't know the fall of my father,0.35714285714285715,0.2398062
"Yeah, it looks worse than it is.",あー　大げさな感じに見えるだけ,"Oh, I just look like a big feeling",0.0625,0.28575015
It's nothing serious.,大した怪我じゃないよ,It's not a big injury,0.2222222222222222,0.30881074
"Kanba, you're doing really well.",冠葉　お前はホントによくやっている,Crown Leaves You are really well done,0.25,0.27102125
I am proud of you as a father.,父として誇らしく思う,I'm proud as my father,0.3636363636363637,0.87728405
We can't return home until we carry out the mission.,ミッションを遂行するまで　俺達は家に戻れない,We can not return to house until we carry out mission,0.4,0.87708694
Help out Shoma and Himari.,晶馬とひまりを助けてあげてね,Help him and him,0.2857142857142857,0.35183606
"The usual, for my son.",息子にいつものものを,My son is always,0.2222222222222222,0.34196624
The boys and girls form a ring shounen shoujo wa ni natte,少年少女輪になって,It becomes a boy girl circle,0.05882352941176471,0.47771955
Extended hands cut down through the air,伸ばした手は空を切って落ちる,The stretched hand offs the sky and falls,0.07692307692307693,0.555159
The Imaginary and the Real can never mingle,交わらないイマジナリー,Imaginary Imaginary,0.14285714285714285,0.609405
The merry-go-round twirls into the air,回転木馬宙を舞って,Dance the rotary tree,0.125,0.34270036
As the curtain of war is torn open,戦いの幕を切って落とす,Cut and drop the battle of the battle,0.16666666666666666,0.502933
himegoto akasu holy night the holy night for divulging secrets,秘め事明かすホーリーナイト,Head of holley knight,0.0,0.10697028
A crimson curtain conceals the smile,深紅のカーテンを翻して,Verifying a crimson curtain,0.42857142857142855,0.69317925
"Boys, come back to me",少年よ我に帰れ,"Boy, go home",0.1111111111111111,0.52504206
tokkyuu ressha nocchate i ended up getting on the midnight express,特急列車乗っちゃって,I'm riding a limited express train,0.125,0.36612278
Take me away to Neverland,ネバーランドに連れてって,Take it to Neverland,0.5,0.86335397
Steal away everything I have,一切合切奪ってよ,I'll break it at all,0.1,0.21292233
I don't care if you talk behind my back,後ろ指さされたって,Be backward,0.0,0.33260846
I'll just run away at full speed,一目散に逃げちゃっていいよ,You can escape to the first time,0.0,0.34225383
Do as you please,全部お気に召すまま,Do everything you like,0.3333333333333333,0.4041589
Destiny begins to turn,回り始めるディステニー,Disteny that starts around,0.0,0.28062406
along with water and CO2 to... i heard tabuki quit his job.,な　多蕗　学校やめたらしいぜ,I wonder if I stopped,0.05882352941176471,0.1578277
You think it's stress and that kind of stuff?,なに　ストレスとかそういうの,What a stress or something like that,0.125,0.66119677
"He seemed really serious about his job, so...",真面目そうなやつだったからな,Because it was a serious guy,0.06666666666666668,0.5021013
Marriage? i think we should be together.,え　私達は一緒にいるべきだと思うの,I think we should be together,0.6666666666666666,0.804145
You and I are bound by the wheel of fate.,そうよ　私とあなたは運命の輪で繋がれてる,Yes I and you are connected by the ring of destiny,0.4666666666666667,0.5253294
Are you saying Momoka is binding us together?,桃果で僕達が繋がるって言うのかい,Do you say that we will connect with the peach fruit,0.05263157894736842,0.31632853
We will be with Momoka for eternity if we become family.,私達が家族になれば　桃果とも永遠に一緒よ,"If we become a family, the peach fruit is also forever",0.21052631578947367,0.41252974
"It was impossible for us, after all.",やっぱり　私達には無理だった,After all we were impossible,0.2727272727272727,0.8216052
I'll bring back Momoka by myself.,いいわ　私は一人で桃果を取り戻すから,Like I regain the peach fruit alone,0.07142857142857142,0.33207923
That should've been the plan all along.,最初からそうすればよかったのよ,It would have been nice to do so from the beginning,0.1111111111111111,0.48183137
But only half of the spell needed to transfer fate is written here.,でも　ここには　運命を乗り換える呪文は半分しか書かれていない,But here is only half of the spells that change destiny,0.3888888888888889,0.63290226
I need the other half of the diary to find out the rest.,残りを知るためには もう片方の日記が必要,The other diary is necessary to know the rest,0.3333333333333333,0.7356726
This room is so cold.,寒いわ　この部屋,It is cold This room,0.5714285714285714,0.90220815
"Welcome Home. Congratulations!! congratulations for being released from the hospital, himari!",ひまり　退院おめでとう,Congratulations on the hospital,0.21428571428571427,0.70007706
Important thing is that you're back home.,そうだよ　ひまりがうちに帰ってきたって事が大事なんだ,That's important that the him is back home,0.4166666666666667,0.727532
We can eat together again!,また皆揃って御飯が食べられるのも お祝いしなきゃ,I have to celebrate everything that everyone can eat,0.15384615384615385,0.42201695
That's a reason to celebrate!,約束通り　今夜はすき焼きだ,"As a promise, tonight tonight",0.09090909090909093,0.1878955
It's like a work of art! i bought the most expensive meat in store for the first time in my life.,人生初　店で一番高い肉を買ってきた,I bought the highest meat at my life store,0.2916666666666667,0.70221
We have to live it up!,バイト代も入ったし　これぐらいの贅沢はしないとな,I also entered the byte fee and I have to luxury about this,0.1176470588235294,-0.017083293
Don't tell me you're doing something sketchy.,兄貴 まさか変なバイトとかしてないよね,My brother is not a strange part-time job,0.0,0.24556239
Like being a host or something... you've been coming home late these days.,ホストとか　最近夜遅いし,Host or late night late,0.17647058823529413,0.565601
It's a Brother Appreciation Day.,えっと　今日は兄弟に感謝の日です,It is a day of thanks to my brother today,0.3076923076923077,0.77523535
We kept it a secret to surprise you.,うん　びっくりさせたくて内緒にしてたの,I wanted to be surprised and I was secret,0.13333333333333333,0.7633902
"Hey, I helped pick the yarn.",ね　その毛糸　あたしも一緒に選んだんだよ,Yes I also chose the wool.,0.25,0.49467653
It was really hard to find a color that would look good on you!,晶馬君に似合う色探すの　とっても大変だったんだぞ,It was also very difficult to find a color that looks good for Klights,0.3809523809523809,0.54905784
Himari! I'll cherish it for the rest of my life!,ひまり　一生大切にするよ,I will be an important life,0.125,0.24344122
"Hey, are you listening?",ちょっと　聞いてるの,I hear a little,0.0,0.37815285
You two sure get along well. what?!,二人は仲良しだね,The two are good friends,0.07142857142857142,0.46925515
