en_text,jp_text,google_translated,score
"I'd appreciate it if you'd stop that, esper.",少しは 加減してほしいものだな,I want you to add a little bit,0.11764705882352941
"Destroying all of our dispersed money caches at once seems a little childish, don't you think?",各所に 分散させておいた資金を,Funds that have been distributed to each place,0.0
All I'm doing is crushing my targets.,こちらは破壊目標を 確実に たたくだけ,This is just the destructive goal,0.07142857142857142
I don't give a damn about your funds.,活動資金のことなんか 知ったことではないわ,I'm not knowing what activity funds,0.13333333333333333
"Move Point, eh? a troublesome power.",座標移動か　やっかいな力だ,Coordinate movement or a good power,0.15384615384615385
Do you think it's only troublesome?,やっかい程度で収まると思う？,Do you think it will fit with a few?,0.38461538461538464
I'll end you in one blow between the eyes.,眉間にぶち込んで 終わらせてあげるわ,I'm going to finish it in the eyebrows,0.17647058823529413
I'm taking this very seriously.,こちらだって真面目にやる,It is serious and serious,0.0
"I deserve some kind of handicap for facing such a monster, don't I?",貴様のようなバケモノと 戦うんだ,Let's fight against Valcoon like you,0.0
That mobility...,この運動性能…,This exercise performance ...,0.16666666666666666
"You have Hard Taping under your clothing, don't you?",服の内側に発条包帯を 仕込んでいるのね？,Aren't your clothes?,0.23076923076923078
Getting my hands on this military-grade ultrasonic wave elastic taping wasn't easy.,フフッ… 音波伸縮性の 軍用特殊テーピング,Fuhu ... Sound waves elastic military special taping,0.1
I need to finish this.,早急に決着をつけよう ンンッ！,Let's make a decision immediately!,0.0
Do you really think you can stop me with a shield like this?!,その程度の膜では この俺を止めることはできない！,It can not stop this with the film of that extent!,0.23809523809523808
Too easy.,あっけない,Absent,0.0
"Seems like her part's over with, too.",あっちのノルマも 終わったみたいだし,It seems that there was also the end of the Normo,0.05263157894736842
"I guess I can't keep you waiting, then.",それなら休ませてやろうか ああ？,If you're resting?,0.07142857142857142
Let me ask you what the reasoning behind your plan is.,駒場利徳だな？ 一応 理由を尋ねてやろうか,Is it Komaba Dakae?Let's ask for one reason,0.15
You wouldn't be interested in Skillout's reason for attacking espers.,スキルアウトが 能力者をたたく理由なんて―,Why skillouts want to fit the skills-,0.0
So I take it you're going to attack everyone indiscriminately after you send the city into chaos?,フッ… 街を混乱させたうえで 無差別攻撃ってとこか,"Hook ... If you disrupt the city, it's a discriminatory attack",0.19230769230769232
"No, not indiscriminately. we do a good job of choosing our targets.",無差別ではない 標的ぐらいは こちらで選ぶ,It is selected here as a target that is not indiscriminate,0.09090909090909091
You seem pretty calm.,なかなか余裕があるみてえだが 今の状況 つかめてんのか？,"It's quite affordable, but is it a situation?",0.0
This is different from what I'd been told.,話に聞いていたのとは違う,It is different from what I heard,0.4166666666666667
Social defects are supposed to go all out with their powers at this point.,日陰者たちは 普通なら ここでは ためらわない,Sunrise is not normal if it is normal,0.0
Is that so?,そうかい… 知ってるか？,Somewhat ... do you know?,0.1111111111111111
People who confront me tend to end up sliced up.,俺の前に立ったくそ野郎は 普通なら ミンチになるんだぜ,I want to stand in front of me,0.125
"That electrode is a transmitter for some sort of electronic information, right?",その電極 何らかの電子情報を 送受信しているな？,Is that electrode sending and receiving some electronic information?,0.4117647058823529
What's this?,何だ？　これは,What? this is,0.6
They're an electromagnetic radar countermeasure.,“攪乱の羽” 電波攪乱装置の一種だよ,"It is a type of ""disturbed wing"" radio wave disturbance device",0.0
Time for you to splatter!,真っ赤に はじけろ,Rapped in red,0.0
This is the last decision you'll make. where should i shoot to kill you?,最後に選べ どこを撃ち抜いて殺してほしい？,Do you want to shoot and kill where you can do it at the end?,0.30434782608695654
Are you going to make the guiltless into the misfortunate?,そうやって 何の罪もない人間から 順番に 不幸にするつもりか,I'm going to make it unhappy from people who do not sin,0.15
"Don't screw around with me, you shithead!",ふざけんじゃねえぞ！ このくそ野郎が！,It's not funny!This dawn!,0.0625
Why is your reflection working?,なぜ お前の反射が生き返っている？,Why is your reflection live?,0.7142857142857143
Chaff Seeds cause electromagnetic scrambling by sending bits of metal into the air.,空気中に金属箔をばらまくことで 電波障害を起こすんだよ,It causes radio wave disorder by making the metal foil withdraw in the air,0.17391304347826086
"The counter is simple. just get rid of the metal by, for example, ventilation.",なら 簡単だ 漂ってる金属箔をどけちまえばいい,"If it is easy, it is good to have a metal foil that is drifting",0.12
"You picked a fight with a Level 5, you Level 0.",ンッ… レベル０のぶんざいで レベル５にケンカを売る その根性,... Level 0's Bunzu and sell Kenka at level 5,0.17647058823529413
Do you have the balls to do it again?,もう一度 見せてもらおうか,May I show you again,0.16666666666666666
"Checkmate, right?",チェックメート …だよな？,Check Mait ...?,0.14285714285714285
Just being a Level 0 doesn't make you evil.,レベル０っていうだけじゃ 悪にはならねえ,If you just say that level 0,0.2857142857142857
People say you guys are a bother because groups like Skillout cause problems!,ああいう連中が ジャマ者扱いされてんのは―,"Oh, the jealousy is treated as jama-",0.0
Obtain rights? secure safety?,権利の獲得？　安全の保証？ ばかばかしい,Earn rights?Security warranty?Vague,0.2222222222222222
Let's talk about a hypothetical situation.,フッ… もしもの話をしようか,Ho ... I will talk to you,0.07142857142857142
The humanity of those with strong powers does not play a factor.,能力者としての優劣に 人格的な問題は考慮されない,Personality issues are not considered as a skill as a capable person,0.09523809523809523
"Some are ugly-hearted people, using their powers for whatever purpose they so choose.",中には強大な力を振りかざすだけの 醜い人間もいる,Some people are ugly people who just swing the powerful power,0.13636363636363635
What if those people were playing a game to see who could kill the most Level 0's,そういうヤツらが 組織されたスキルアウト以外の―,Other than the skilled skilled skilled skills,0.045454545454545456
who didn't belong to some organization?,レベル０だけを競って襲うゲームが はやっているとしたら,If you are doing a game that competes only at level 0,0.0
What would you do?,お前は どうする？,What do you do?,0.8
I knew this day would eventually come.,フッ… いずれ こういう結末を 招くのは分かっていたが,Ho ... I knew that I would like to cause such a connection,0.17647058823529413
You bastard...,この野郎…,This bastard ...,0.5
Looks like you and I are in similar circumstances right now.,どうやら 今の俺とお前は 同じような境遇にいるらしいな,Apparently I think that I am in a similar situation,0.16666666666666666
Here's a present. carve this ugly scene into your heart.,手土産だ このブザマな光景を胸に刻んでおけ,Hand souvenirs This buzzer sights are chested on the chest,0.047619047619047616
"I'll send the garbage truck over, so get a ride from him.",例の収集車を送りますので そちらに乗ってください,"I will send a collection car to the example, so please get there",0.3181818181818182
"No, I'll go home on my own.",いや　こっちは勝手に帰る,"No, I will return myself",0.23076923076923078
"That's fine, but please avoid meeting anyone.",かまいませんが 知人と遭遇するのは避けてください,"I can not wait, but please avoid encountering an acquaintance",0.23529411764705882
We need to avoid expos—,我々は紛れることに…,What we can be confused ...,0.1
"I started watching somewhere in the middle, but when did you notice?",途中から見せてもらっていたけど どこで気づいたのかしら,"I was asked to show from the way, but wherened",0.19047619047619047
It was obvious.,フン… バレバレなんだよ うっとうしいマネしやがって,Hun ... I'm Bare Bare I'm sorry,0.0
Don't give me that crap. is that how you should be talking to the one who saved your life?,フフッ… 命の恩人に対して そういう言葉遣いでいいのかしら？,Fufu ... Do you want to do such a word for your lives?,0.1724137931034483
"My savior, eh?",“命の恩人”ね　死ぬまで言ってろ,"""Life beneficiary"" Tell me until you die",0.0
"Oh, you're going somewhere?",あら　どこかに寄っていくの？,Do you stop somewhere?,0.3333333333333333
It's nothing important.,大したことじゃねえ　残業だよ,"It's a big work, not a big deal",0.18181818181818182
Free overtime.,サービス残業,Overtime work,0.25
This extra work took a while.,あ～あ… 残業のせいで 結構 遅れちまったな,Oh ... ... I'm quite late because of my overtime work,0.058823529411764705
I guess I'll stop by a convenience store and get some coffee.,チッ… コンビニ寄って コーヒーでも買ってくか,Chig ... Convenization and buy also in coffee,0.10526315789473684
I-I don't feel too good...,き… 気持ち悪い… アア…,... I feel uncomfortable ... Aa ...,0.2
"Wait, that face...",うん？　あのツラ どっかで見たような気が…,Yes?That Tsura seems to have seen it somewhere ...,0.14285714285714285
Who the hell is this?,何なんだ？　こいつ,what's that?  this guy,0.2
"My hobby is studying number theory, I'm good at swimming,",趣味は数論のお勉強　特技は水泳 おっぱいは91センチで～す,"My hobbies are a few docical studies, swimming tits 91 cm",0.14285714285714285
"Oh right, I'm married.",あっ いけね 私 結婚してたんだった,I was married me,0.2222222222222222
"C'mon, Daddy will be mad so don't touch me!",ほら　パパに悪いから なれなれしく触んじゃねえって,It's bad to say that I'm bad,0.0
"Hey white-hair, do you know anything about it?",ねえ 白いの あんた 何か知ってる？,Hey you know something white?,0.3333333333333333
"Hey, don't ignore me white-hair!",あっ！　無視すんなよ 白いの！,Ah!Ignoring it is white!,0.07692307692307693
Hey...,だから 美鈴さんは―,So Misu-san-,0.0
"I kiss everyone as long as they're younger, man or woman!",私は 年下なら 男の子でも 女の子でもチューしちゃうんだぞ,I'm a boy or girl even if I was younger than a boy,0.14285714285714285
But don't you think that croquettes qualify as a sort of nabe-type meal then?,それを言ったら コロッケだって 鍋のひとつだと思うわけよ,"If you say that, I think it's a croquette and it's one of a pot",0.19230769230769232
You put bread crumbs on the stuffing then put it in a pot of hot oil.,目の前でパン粉をつけておいた具を 油の中に入れていくのがだな…,It's about putting bread crumbs in the oil in front of you ...,0.38095238095238093
"Well, I guess that's also because anything tastes better right when it's made.",作りたてが おいしいっていうのは そのとおりかも,It may be said that it is delicious and delicious,0.09090909090909091
So that means that eating everything you cook right as you're making it would taste the best?!,あっ！　それなら いっそ 私の前で当麻が料理を作って,Ah!Then she goes to make dishes in front of me,0.034482758620689655
H-Hey! I know you!,ああっ！　あんた 確か… うん？,Oh!Anno sure ... yes?,0.09090909090909091
Woohoo! I got myself a young guy!,おっしゃー！　年下の坊やゲット！,Omho!A younger boy and get!,0.15384615384615385
What's Mikoto-chan gonna do when she finds out you've been wandering around at night?,こんな時間にブラブラしちゃって 美琴ちゃんは どうしたのよ？,What happened to Beauty-chan and Miso-chan?,0.08695652173913043
I have no reason to tell someone like you my name.,フン！　別に あなたみたいな人に 名乗る名前なんてないかも,"Hun!Apart from that, he may not be a name to name people like you",0.16666666666666666
Why you little...,あんだと？　この！ アッ！,What is it? this!!,0.0
