en_text,jp_text,google_translated,score
I always screw up...,《情けねぇな～ いつも俺は…》,"""Nei-I always do it ...""",0.2
"On the morning of the sixth,",アスキャンが 砂漠７０キロを➡,Ascan is 70 km of desert,0.09090909090909091
But what?,ただ…何よ？,Just ... what?,0.4
What is it?,何ですか？,What is it?,1.0
S-Should I consider myself lucky?,《これは…思わぬ幸運…！》,"""This is ...! Sexable lucky ...!""",0.07692307692307693
"Everyone, I have news.",皆さん 聞いて下さい｡,Please listen to everyone.,0.2222222222222222
"In the next five minutes, Team E must decide",私達Ｅ班 全員リタイアするか➡,We will retire all E 班 ➡ ➡,0.0625
before the day's end.,５分で決めろって｡,Decide in 5 minutes.,0.1
You really are good at that.,さすが…わかってらっしゃる｡,... I know.,0.1
"Okay, let's hurry.",よし！急ごう｡,OK!Spring.,0.1111111111111111
"Nitta, what are you doing? i'll carry nanba's belongings.",俺が全部持つよ｡当然だ｡,I have everything. Of course.,0.1111111111111111
"Wow, everyone!",《おおっ 皆さんっ！》,"""Oh, all!""",0.25
"Okay, we'll go with that.",ＯＫ それでいこう｡,OK Let's go.,0.18181818181818182
Don't worry. i promise we'll reach the goal.,大丈夫 必ずゴールできます｡,You can always go to the goal.,0.1875
And these feelings of gratitude are giving me strength.,《この ありがたさが力になる…》,"""This thanks to the power ...""",0.0
Here they come. they're so strong!,来たよ みんな立派だ｡,Everyone came.,0.1
"What's up, Lowry? here is the word i have for you!",君に贈ろう 僕の大切な言葉…➡,I will give you my important words ... ➡,0.09090909090909091
"It's ""pride""!",プライド！,Pride!,0.3333333333333333
Pride that the wind can blow away.,ゴミのようなプライドだな｡,It is a pride like trash.,0.15384615384615385
"Thanks, Lowry.",ありがとよ ローリー｡,Thank you Laurie.,0.14285714285714285
You're welcome.,ドウ…イタシマシテ…｡,Dou ... Itasimashite ....,0.14285714285714285
What?,なんだ…？,what…?,0.3333333333333333
What is that?,《なんだこりゃ…!?》,"""What's wrong ...!?""",0.2
Team B has arrived.,今度はＢ班が到着したってよ｡,This time B 班 has arrived.,0.5
"We should go meet them, Pico.",面会に行きましょう ピコさん｡,Let's go to the club.,0.15384615384615385
That guy's so damned lazy. hey...,おい！いくら俺でも➡,Oi!How much me,0.0
Now it's time to use your brains.,説明しよう｡,Let's explain.,0.18181818181818182
This is your next task.,君達にやってもらうのは これだ｡,This is what you get to you.,0.3
"Honestly, it isn't very easy.",正直 簡単じゃないぜ｡,It's not easy to be easy.,0.25
He's from Team A.,あれは Ａ班の…｡,That's a group ....,0.3333333333333333
It's Shane and his team.,シェイン達だ｡,It is Sheine.,0.2222222222222222
Why am I here? now choose of these engineers.,さあ この中から１人選んでくれ｡,Saya Please choose one from this.,0.125
"Okay, then.",あっ そう｡,I see.,0.16666666666666666
That's right...,そう…です｡,that's right.,0.6
What's that?,《なんとっ》,"""How""",0.0
The student participants in this contest have been preparing for six months.,このコンペに参加する,Join this competition,0.06666666666666667
But we'll be building a rover...,だけど 作るモノはローバーだ》,"But what you make is a Rover """,0.23076923076923078
This is our chance for a comeback.,逆転のチャ～ンス！》,"Reverse chair!""",0.0
"Your fever's gone down a bit, Nanba.",少し熱下がってます 南波さん！,"Southwan-san, a little hot!",0.14285714285714285
See you tomorrow. good night... thank you.,あ おやすみ｡ありがとう｡,A good night. Thank you.,0.5555555555555556
I can't wait to get there.,《早く俺も行きたいぜ…》,"""I also want to go soon ...""",0.13333333333333333
"Hey, Vince.",ヘイ ビンス｡,Hey Vince.,0.75
