en_text,jp_text,google_translated,score
"Vice-principal, there's\Nan incoming message from a patrol ship.",教頭先生　哨戒船から入電です,It is incoming from the teacher patrol ship,0.2857142857142857
Musashi discovered.,武蔵発見,Discovery of Musashi,0.2
"Cruising at northern latitude of 19.41 degrees,\Neastern longitude of 145.0 degrees.",北緯19度41分　東経145度0分にて巡航中,North 19 degrees 41 minutes Encyclopedia at 145 degrees Tenken,0.10526315789473684
"Attempts to contact them\Non the radio, but no response.",無線で呼びかけるも応答なし,No response to call wirelessly,0.23076923076923078
"The beacon response is also off,",ビーコンの反応も消えてますし,Beacon's response is also disappeared,0.4444444444444444
"so it's likely they're suffering\Nfrom electrical failure, including the radio.",恐らく無線も含め電装系の故障だと思われます,It seems that it is probably a failure of the electrical system including wireless wireless,0.22727272727272727
Contact the Yokosuka Girls' Marine High School\Nand let's give them the Musashi's position.,武蔵の位置を横須賀女子海洋に連絡しよう,Let's contact Oshiko Position to Yokosuka Women's Ocean,0.2631578947368421
"Well, good thing they've been found.",まあ　見つかって良かった,It was good to find it,0.07692307692307693
I'm sure they must've been really worried.,随分と心配しているだろうな,I'm worried about it,0.25
"We say maintaining students' safety\Nis what's most important,",生徒の安全確保は最重要だというのに,Even though the safety of the students is the most important,0.17647058823529413
"Fortunately, all of our students aboard\Nthe I-201 were safely rescued, but...",幸いイ201に乗艦していた我が校の生徒たちは全員無事に救出できましたが,Fortunately I was riding on 201 I was able to rescue all the students in my school safely,0.16
And supposedly the Harekaze\Nengaged in battle with an instructor ship.,晴風は教員艦とも撃ち合いになったというし,It is said that the weather was shot with the teacher ship,0.15789473684210525
What is going on?,一体何が…,What on earth…,0.3333333333333333
"Well, whatever is happening, let's go\Nand secure the Musashi immediately.",いや　何が起きたにせよ　直ちに武蔵の保護に向かおう,"No, let's go to protect Musashi immediately after getting up",0.25
Call the patrol ship back.,哨戒船を呼び戻せ,Call back the patrol ship,0.8333333333333334
Macchi!,マッチ,Match,0.0
Cool!,かっこいい,cool,0.5
So amazing.,たまらん,Burn,0.0
Dolphins!,イルカだ,Dolphin,0.0
Dolphins in the flesh!,ほんまイルカっす,Honma,0.0
Don't just jump in like that!,ほら　準備運動もせずに,Please do not exercise,0.09090909090909091
But dolphins!,イルカ,Dolphin,0.0
"Distance to the subject, 5.0.",対象まで距離5.0,Distance to target 5.0,0.375
- Boom.\N- It's gonna go bang?,そんなにのんびりしてていいのか,Is it easy to relax so much?,0.13333333333333333
Rotate 120 degrees!,120度旋回,120 degree swirling,0.16666666666666666
Amazing! The open sea is amazing!,全長は2メートル30センチってとこ,The total length is 2 meters for 30 cm,0.15384615384615385
Should we really be relaxing like this?,バキュンとくる感じ,I feel like Bakun,0.09090909090909091
"Ever since the entrance ceremony, it's been\None nerve-racking moment after another.",入学式からここまでずっと　みんな緊張の連続だったしね,It was a series of tensions from the entrance ceremony so far,0.18181818181818182
So I thought it'd be okay\Nif we enjoyed ourselves a little.,ちょっとぐらい羽伸ばしてもいいんじゃないかなあ,It may not be possible to get rid of it for a moment,0.13636363636363635
