en_text,jp_text,google_translated,score,semantic_score
I have to do something.,何とかしないと…,If you do not do something ...,0.2,0.4945405
I have to preserve Rea's body.,俺が　礼弥の体を守らないと,If I do not observe the body of Saiko,0.13333333333333333,0.3059396
Rea's body is going through rigor mortis.,死後硬直を起こしている 礼弥の体…,Seiya's body that has been stiff after death ...,0.1176470588235294,0.55024123
"The way it's going, her body will gradually decay away.",このままだと 徐々に肉体が腐っていってしまう,"If this is left, the body will gradually rotten",0.2777777777777778,0.6665673
"First thing I need to do, before the rigidity goes away,",とりあえず　硬直が解けるまでに 何とか,Take some time before I can not get rigid,0.10526315789473684,0.8362398
is find some way of maintaining Rea's body.,礼弥の体を維持する方法を 見つけないと,I have to find a way to maintain the body,0.1875,0.52598035
Yes. I know you read one once before. I need you to lend it to me.,そう お前　確か　前に読んでただろ？,So you read before or before?,0.17647058823529413,0.51987153
I lent it out to a classmate.,あれは　級友に貸したままだが…,That's why I lent my class ...,0.14285714285714285,0.6368663
A classmate? What kind of middle-schooler is this?,級友って　どんな中学生だよ？,What kind of junior high school student is a class friend?,0.4,0.6944966
One between a grade-schooler and a high-schooler.,小学生の上で　高校生の下,Under high school students on elementary school students,0.0,0.55575514
"Yeah, that much I get.",いや　それは知ってるけど… にーこそ,"No, it knows ... but ...",0.08333333333333333,0.21526688
"Brother, what do you need such a book for?",何故　そのような本を？ あッ？,What kind of book??,0.2307692307692308,0.6381324
"Oh, nothing...",ああ…　いや…,"Ah, no way…",0.14285714285714285,0.2630433
"If you don't have it, never mind.",ないなら　いいんだ,I wish I do not,0.07692307692307693,0.40007636
"He's been weird lately, huh?",最近　変であるな…,It is recently strange ...,0.0,0.5249889
I guess the easiest thing to do would be formalin.,やっぱ　一番多いのは ホルマリンなのか？,"After all, is it a formalin?",0.05555555555555555,0.6080829
"But apparently, the smell is awful.",でも　臭いが　すごいらしいし,But it seems that the smell is great,0.3333333333333333,0.7944448
Ask before coming in!!! i have to keep the family and the neighbors from finding out.,家族や近所に バレないようにしないと,If you don't burn in your family or neighborhood,0.08,0.21766871
"Hey, Chihiro and Mero! Get up already!",おーい　千紘　萌路 早う起きてこんか,Hey Chikumi Sakai Road Get up early,0.2307692307692308,0.5263999
A-All right!,あッ　分かったよ！,I was frustrated!,0.16666666666666666,0.2626618
I could move her into the closet.,押し入れに移すか,Transfer to push,0.0,0.082102835
There.,よし！,OK!,0.0,0.3001945
"You know, I'm not sure where I should be looking.",にしても　目のやり場に困るなあ,Even if I'm troubled with my eyes,0.1111111111111111,0.18674187
