en_text,jp_text,google_translated,score,semantic_score
Signs,-----TEXT-JP-----,------ TEXT-JP -----,0.0,0.21673676
This is the world Shamans see.,これが　陰陽師の見る世界,This is the world where the yin-yo looks,0.4,0.33274597
"Hokuto,",北斗,Hokuto,0.5,0.974472
"I don't know if I can ever\N live up to your expectations,",お前の願いが叶うかはまだ分からないけれど,I do not know yet if your wish comes true,0.2777777777777778,0.46013212
but I've finally made up my mind to try.,俺は　やっと…,I'm finally ...,0.15384615384615385,0.33943462
"Hurry up, Yukikaze!",急いで　雪風,Snow style in a hurry,0.1111111111111111,0.33474594
I can't set flight from here,"{\blur3\fad(200,0)}飛べない…ここからじゃ",I can't fly ... from here,0.5555555555555556,0.59973955
Just looking at your profile won't help,{\blur3}横顔 眺めてるだけじゃ,Just look at the profile,0.3,0.70231867
I could lament my powerlessness,"{\fad(1000,0)\blur3}飛び方を忘れていた",I forgot the flying,0.125,0.14105158
Cry their hearts out in regret,"{\fad(300,0)\blur3}Going out!",Going out!,0.125,0.106663935
toritachi no nageki wa nobasu,{\blur3}この背を 誰も押さない,No one pushes this back,0.1111111111111111,0.122391604
"From this cold, inhumane world","{\fad(250,0)\blur3\c&HA4A4A4&\3c&H000000&\3a&HAD&}そうだけどね 確実な","Yes, but certainly",0.1111111111111111,0.08765404
There's a certain hope already welling up inside of me,"{\fad(250,0)\blur3\c&HA4A4A4&\3c&H000000&\3a&HAD&}希望が もう僕の中に",Hope is already in me,0.2307692307692308,0.76701844
kibou ga mou boku no naka ni going up,"{\fad(250,0)\blur3\c&HA4A4A4&\3c&H000000&\3a&HAD&}Going up!",Going UP!,0.2,0.3449877
I sprint toward the start line,{\blur3}走り出した 序章へ,To the start of running,0.2222222222222222,0.6728328
I'm sure this is how it was meant to be,"{\fad(150,0)\bord3\blur3\alpha00\c&H0D0EF5&\3c&HFFFFFF&}やってみなきゃ ワカラナイ",I have to do it,0.2307692307692308,0.07882315
And take off to where you are,{\blur3}キミの元へ,To the source of you,0.2,0.24897552
habataku ravens,{\blur3}羽撃く “RAVENS!”,"Feather ""Ravens!""",0.16666666666666666,0.54425555
Fight! Keep holding on!,"{\bord3\blur3\t(0,167,\c&HD1B420&\3c&H070300&)}Fight! {\alphaFF}Keep holding on!",Fight!  Keep Holding on!,1.0,0.9999998
We'll come together in the middle of a thousand loops,"{\fad(125,0)\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&}何千のループの中 出逢う",meet thousands of loops,0.15384615384615385,0.7199685
Right here in this very place,{\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&}この現世で,This is the world,0.1111111111111111,0.2715843
My destiny can no longer be stopped,{\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&}もう止められない 宿命の真下で,Under the fate that can not be stopped anymore,0.2307692307692308,0.5574962
No matter how little,{\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&\t(\c&HDCDCDC&\3c&H000000&\3a&HAD&)}僕に出来ることが どんなに僅かでも…,No matter how little few things can be done ...,0.4,0.6880716
sono karada ni seou mono,"{\fad(150,150)\blur3\c&HDCDCDC&\3c&H000000&\3a&HAD&}その体に背負うもの",Those who bear the body,0.0,0.046276562
Whatever you may be burdened with,"{\fad(150,150)\blur3\c&HDCDCDC&\3c&H000000&\3a&HAD&}キミの傍にいるよ",I'm beside you,0.1111111111111111,0.256287
