en_text,jp_text,google_translated,score
Andre's Diary,"（安堂(あんどう)麗治(れいじ)）
ああ… ああ…","麗 )
Oh ... ah ...",0.0
Kick plan they to you out,"（マユミ）
ちゃんと伝わったかな？
メッセージ…","Did you communicate properly?
message…",0.09090909090909091
so,♪～,♪ ~,0.0
"the world is a limitless,","（杏子）
ねえ まだ時間 大丈夫でしょ？",Hey still it is okay?,0.09090909090909091
kokoro wa ai to iu hate no nai,～♪,~ ♪,0.0
"No, they're not a penny.",え～ いいよ 無理しないで,Eh ~ I do not overdo it,0.07142857142857142
My Slave Diary,なんで 僕の日記が？,Why is my diary?,0.3333333333333333
Who are you calling mom?,"（アンドレ）
あのドアの向こうに行けば…",If you go beyond that door ...,0.08333333333333333
Underground Student Council\N\NCaptain of the Guard\N\N\N\NYokoyama Anzu,"裏生徒会のサポートを
させていただけるなんて","Support for the back student council
I can",0.15384615384615385
m -368 -165 l 658 94 l 485 175 l -402 -52,"（シンゴ）
ハッ！",Ha!,0.0
Board Chairman's Office,"（理事長）
男子諸君 はじめまし…",Men's boys are started ...,0.1111111111111111
Dog Transferal Operation,"男子退学オペレーション
って書いてある書類を！","Male retirement operation
Documents written!",0.125
There is a need to make people aware of,何かの見間違いでしょう,It will be a mistake of something,0.14285714285714285
strategy that goes against public opinion.,万里 それは本当なの…,It is true that it is true ...,0.09090909090909091
Falling in love with someone,ＤＴＯって どっかで見たぞ,I saw it somewhere in DTO,0.1
is like stepping into a mouse trap,それさえ 見つけられれば…,Even if it is found ...,0.08333333333333333
Pure daily lives full of ero,"（ジョー）
けど それは
もう処分されてるんじゃないか？","But that is
Aren't you disposed of?",0.07142857142857142
