en_text,jp_text,google_translated,score,semantic_score
"Kakugane, the paranormal alloy forged from the essence of alchemy...","（ナレーション）
錬金術の粋を集めて精製された
超常の合金 核鉄(かくがね)","Collected the alchemy and purified
Ultra-Normal Alloy Nuclear Iron",0.17647058823529413,0.43107924
That is Buso Renkin.,それが 武装錬金(ぶそうれんきん)である,That is an armed alchemy,0.25,0.1585089
An antidote is necessary to remove the homunculus nesting in Tokiko's body.,"解毒剤を持つ
蝶野(ちょうの)の居場所に―","Having antidote
In the place where the butterfly is",0.2222222222222222,0.44208902
Tokiko entrusts her own kakugane to Kazuki.,"斗貴子は
カズキに己の核鉄を託す","子
I entrust her furnit iron to Kazuki",0.2307692307692308,0.48569605
"Wait for me, Tokiko!\NWait for me, guys!",待っててくれ みんな,Please wait,0.1111111111111111,0.2932217
"That's Chono's family home, huh?!",（カズキ）そんな…,That's right ...,0.18181818181818185,0.20047663
What? You don't know?,えっ 知らない？,Do not know?,0.42857142857142855,0.5700818
"With the goal of having him inherit the Chono family fortune,",あれか 蝶野の実家は,The family of butterfly noodles is,0.21428571428571427,0.18598689
l gave him every conceivable kind of education for the gifted.,"（刺爵）
あいつには この蝶野家の家督を
継がせることを目的とし―","He has a habit of this butterfly wild house
For the purpose of sending",0.13636363636363635,0.118494175
And the investment paid off.,そして そのかいあって―,And there is that.,0.2222222222222222,0.32150897
on par with his great-great-grandfather who laid the foundation for this family.,"この家の礎を築いた
曽々祖父に比肩すると―","I built the foundation of this house
If you should be a grandfather with your grandfather-",0.16,0.65719664
"Repeating the same year twice in high school,","それが今や 高校を２回も留年する
今年で二十歳の引きこもり","That's right now, now high school
More than twenty-year-old with this year",0.2222222222222222,0.4703037
Chono!,あっ 蝶野！,A bowl Yuno!,0.2,0.40616524
What do you think you're doing to Jiro?,"（護衛）
次郎さんに何のマネだ",What is Mane to Jiro,0.2727272727272727,0.59672743
Jiro?,次郎？,Jiro?,1.0,0.9999994
That's funny that Big Brother's missing.,"兄さんが行方不明とは
お笑いだな","My brother is missing
It is a comedy",0.16666666666666666,0.48518425
Chono's little brother?,（カズキ）蝶野の弟？,Hongyano brother?,0.3333333333333333,0.5029348
"lf you find him,","あいつを見つけたら
伝えておけ","If you find him
Tell me",0.375,0.693572
tell him l decided Jiro will inherit the Chono family fortune,"“蝶野の家督は
次郎が継ぐことに決まった”","""The family of butterfly is
Jiro decided to succeed",0.2352941176470588,0.5742203
and he is no longer needed.,“お前は もう要らん”とな,"""You are no longer needed""",0.2727272727272727,0.5453999
"You're Chono's father, right?\NChono is suffering from a disease.","（カズキ）
あなた 蝶野のお父さんですよね",You're a father of the butterfly,0.2222222222222222,0.3227922
So what?,（刺爵）それがどうした,What happened,0.25,0.32756934
"lf he can't carry out his purpose, he's just a good-for-nothing!","目的も果たせないなら
ただの役立たずだ","If you can not fulfill the purpose
It's just useful",0.13636363636363635,0.41918856
"Go home, boy.",（護衛）帰んな ボウズ,Bowes who came back,0.0,0.1511052
"Yeah, hello?",うん 斗貴子さん？,Yuto Yutaka?,0.16666666666666666,0.22615668
"Oh, Big Brother. Yeah. Tokiko?","（武藤まひろ）
はい もしもーし
あっ お兄ちゃん？","Yes
A brother?",0.2,0.40701705
ls that her own outfit?,（大浜真史(だいはま まさし)）あの衣装 自前？,) That costume self-made?,0.2222222222222222,0.6015862
Could it be that she just likes uniforms?,"（岡倉英之(おかくら ひでゆき)）
もしかして ただの制服好き？",")
Maybe he just likes uniforms?",0.3333333333333333,0.717189
"By the way, the proper word is caretaker, not nurse.","（六舛孝二(ろくます こうじ)）
ちなみに今は看護婦ではなく
看護師が正解",")
By the way she is not a nurse now
Nurse correctly",0.375,0.6676063
Geez! No interrupting!\NI'll give you a shot!,"もう ツッコミ禁止
注射するよ！","No more prohibited
I will inject!",0.13333333333333333,0.24510767
Chono hasn't returned to his home?,"（津村(つむら)斗貴子）
蝶野は自宅に帰ってない？","子 子)
Who is not back to her home?",0.2,0.2894337
"No, not a chance.",ここは蝶野の居場所じゃない,This is not a place of butterfly,0.18181818181818185,0.09735982
"Even if l were Chono, l wouldn't go home.","俺が蝶野だったとしても
絶対 帰らない","Even if I was a butterfly
Absolutely return",0.1176470588235294,0.24027593
"The only place where he can turn to,","蝶野が唯一 頼れる場所といえば
やつの始まりの場所","Speaking of places where butterfly can only be relied up
Place of the beginning of the guy",0.2777777777777778,0.35654402
You'll collapse this time for sure if you overdo it!,"（斗貴子）
あっ コラ 走るな
無理すると 今度こそ倒れるぞ","I'm going to run
If you overdo it, you will fall this time",0.3157894736842105,0.6119202
l'm okay...so far.,（カズキ）大丈夫… まだ,Okay ... still,0.25,0.3396499
So far?!,（斗貴子）“まだ”？,"""still""?",0.14285714285714285,0.20490026
Three and a half hours left.,（蝶野攻爵(こうしゃく)）あと３時間半…,3 hours a half hours ...,0.3333333333333333,0.72755146
"Come to think of it, l haven't eaten anything since yesterday.","そういえば 昨日から
何も食べてないな","Speaking of which, from yesterday
I have not eaten anything",0.3157894736842105,0.77084476
l should eat something once l've become a homunculus.,"ホムンクルスになったら
まず 何か食べよう","When it becomes Homclass
Let's eat something first",0.1176470588235294,0.5139454
l wonder what'd be good?,何がいいかな,What is good,0.25,0.4924648
l guess...human.,やっぱり… 人間,After all ... human,0.2857142857142857,0.6816815
You...,（攻爵）お前は… 武藤,You are ... Muto,0.5,0.2867784
—Chonoooo!\N—Mutooooo!,蝶野！,Butterfly!,0.25,0.3799842
