en_text,jp_text,google_translated,score,semantic_score
"Number Two possessed my sister,",（太一(たいち)）妹に憑依(ひょうい)した二番目は—,) The second is the second for sister,0.09090909090909093,0.5332366
and told me to look after everyone.,"俺に“みんなの面倒を見ろ”って
言っていた","""Look at everyone's troublesome""
Said",0.14285714285714285,0.42909804
And he said that I \Ncouldn't tell anyone.,"（姫子(ひめこ)）
ああ 無理やり聞き出したのは—",")
Oh I heard that I heard-",0.14285714285714285,0.24257578
But you just told us.,"（唯(ゆい)）
でも 今 話しちゃったわよね",")
But I talked now",0.1,0.40554762
It may have been a mistake \Nto force you to talk.,失敗だったかもしれないな,It may have failed,0.2307692307692308,0.40428534
Do you know what happens if you talk?,"（姫子）もし話したら
どうなるかは聞いてるか？","if you talk
Do you hear what will happen?",0.5454545454545454,0.8405907
It was a mistake to choose you.,"（伊織：二番目）
あーあ 君にしたのは間違い","Oh, I made a mistake",0.16666666666666666,0.46346393
"No matter, since this is goodbye.","（伊織：二番目）まあ いいか
もう さようならだから","Well good
Because she is goodbye",0.16666666666666666,0.47080964
Do you remember my warning that there,それは…,that is…,0.125,0.24142691
would be consequences if you talked?,"もし しゃべったら
“大変にする”って","If you talk
""I'm very serious""",0.15384615384615385,0.35981992
My clothes!,服… 俺の服,Clothing ... my clothes,0.4,0.8349552
Aoki!,青木(あおき),Aoki,0.5,0.8998794
Why? It's not five yet.,"なんで？
まだ５時になってないのに","why?
Even though it is not at 5 o'clock",0.2857142857142857,0.5547992
Taichi!,"（太一）あっ…
（姫子）太一！","...
 Taichi!",0.6666666666666666,0.9122314
"That means the time frame \Nis random now, too?","起こる時間まで
ランダムになったってことか","Until the time it happens
Is it random?",0.26666666666666666,0.6952745
Huh?,（伊織(いおり)）えっ？,) Eh?,0.25,0.556889
I'm hungry! I'm hungry!,おなか 減った,I'm hungry,0.75,0.81604224
I'm starting to remember a bunch of,"はぁ… 時間退行って
こんな気分なのか","Haa ... I'm out of time
Is such a mood?",0.25,0.15932994
It's long past five.,"二番目のことを
話しちゃったからだよね","Second things
It's because I talked",0.18181818181818185,0.12489376
This is happening because Taichi \Ntold us about Number Two?,"これって やっぱり
太一が私たちに—","This all
Taichi to us-",0.14285714285714285,0.659647
Don't apologize.,"謝らないでくれよ
悪いのは俺なんだから","Don't apologize
Because it is me",0.375,0.7291181
I'm the one to blame.,（姫子）すまん 私のミスだ,I'm my mistake,0.2222222222222222,0.28493103
let alone go home.,"しかし こうなった以上
家に帰るのは もちろん","But more than this
Of course she go home",0.16666666666666666,0.5142206
It's gotten to the point where \Nwe can no longer hide this.,"あっ いや やっぱり
家(うち)の人に迷惑かけるのは—","There is no longer
It is annoying to the house of the house-",0.25,0.43068993
Maybe we should talk to \Nour parents and Mr. Go.,"思い切って 家族とか
ごっさんに話したほうが…","My family and family
I want you to talk to a sour ...",0.15789473684210525,0.27444348
Yeah.,だな,Ouight,0.0,0.18310688
Who knows what will happen \Nif we tell anyone else?,"（姫子）これ以上 誰かに話したら
次に何が始まるか分からん","If you talk to someone anyone anyone
Next I do not know what starts",0.09090909090909093,0.17585392
We should try to hide \Nthis as long as we can.,隠せるだけは隠しておこう,Let's hide only to hide,0.15384615384615385,0.7054052
"I can manage not going home, \Nas long as I call first.",家に帰っちゃダメかな,I'm sorry I'm going home,0.2,0.43054757
"Um, is it okay if I go home for a bit?",あとが大変だと思うが…,I think it is difficult ...,0.1875,0.029576933
Are you worried about something?,"（太一）
何か気になることでもあるのか",Is it also something to worry about,0.18181818181818185,0.7421089
I wanted to talk to my mom real quick.,"ちょっと お母さんに
話をしときたいなって ヘヘッ…","To my mother a little
I want to talk to me Heheet ...",0.25,0.6195622
"Iori-chan, are you cold?",（太一）伊織ちゃん 寒くないか？,Iori-chan is not cold?,0.375,0.9100708
"No, I'm okay.",はい 平気です,Yes I'm fine,0.25,0.68662727
I want to take a bath.,ああ お風呂 入りたい,Oh I want to take a bath,0.75,0.88638026
"but I can't, so I'll wait.",しかたないですよね 我慢します,I can't stand it,0.2727272727272727,0.28586817
Did you just turn back?,"あっ 見てない 見てないからな
今 戻ったのか？","I do not see it
Did you come back now?",0.3076923076923077,0.5570843
Sorry about waking you up.,"うん そうみたい
起こしちゃってごめんね","Yeah I want to
I'm sorry I woke up",0.16666666666666666,0.6039256
What was I like as an 11-year-old?,"（伊織）
11才の私って どうだった？",What was he of 11 years old?,0.2307692307692308,0.5835703
So that's how I looked.,"（伊織）よくできた子か
そう見えるんだ","A well-made child
I see that so",0.2727272727272727,0.2914708
You know how your memories \Nof the time you returned to,時間退行から元に戻ると—,If you return from time to time-,0.21428571428571427,0.5635464
It brings back a lot of thoughts and \Nregrets you might have had.,"だから 反省とか後悔とかも
よみがえってくる","So it's a reflection or regret
Come back",0.15,0.42208886
or wonder if doing something \Nanother way would have been better.,"こうしてれば もっといい方向に
回ったんじゃないかとか","In this way, in a better direction
I wonder if it turned around",0.19047619047619047,0.44569355
