en_text,jp_text,google_translated,score
Moribito Guardian of the Spirit,～♪,~ ♪,0.0
Nothing's happened since that night.,あれ以来 何も起こらないな,Nothing happens since that,0.375
"Still, it's incredible that we survived at all.",にしても よく生き延びたもんだね,Even if I was waking up well,0.0
See to it that Chagum's image is engraved here.,チャグムの彫像を彫らせよ,Enverse chagrm statues,0.0
"With all due respect... with all due respect... yes, l know.",お言葉ながら… 分かっておる,While saying ... I understand,0.07142857142857142
l am well aware that only those who held the rank of mikado...,末代まで その遺影を残すことが 許されたるは―,It is forgiven to leave the shadow until the end,0.045454545454545456
...are permitted to have their likeness engraved in stone for perpetuity.,帝の地位に 就いた者のみであることは―,It is only who is only the person who flee the position of the emperor-,0.0
Let them mock me as a foolish father. l care not.,愚かな父親と そしられようともかまわん,I'm going to be a foolish father,0.17647058823529413
But it was Chagum's death that spared this country from the water demon.,だが チャグムの死によって この国は水妖から守られたのだ,"However, this country was protected by the Water Youth by the death of Chagum",0.3333333333333333
"lf his noble sacrifice does not warrant being remembered forever, what does?",その尊い犠牲を 末代に伝えずして何を伝える,What to tell the end of the precious sacrifice and tell me,0.09523809523809523
"Yes, my lord. the sign of the great drought should lift now.",これで 乾ノ相も晴れよう,Now it should be sunny,0.125
l see. So that's how things turned out yesterday?,そうかい 昨日は そんなことになっちまったのかい,Something like that day yesterday,0.13333333333333333
"That's right. For now, at least, there's nothing to be done about it.",ああ まあ今んところは それも しかたねえと思ってるし―,"Oh, I'm thinking that it is only now-",0.13043478260869565
l'm just thankful to be here with you now.,こうして いられるだけでも ありがてえ,Thank you for this way,0.06666666666666667
l find the vigor of the common people most appealing.,民草の活気に あふれているさまは気持ちがよい,The lively civilian is full of liveliness,0.13333333333333333
"l'll have the same, please.",同じやつを もう１つ,Another guy,0.0
l told Toya and Saya everything.,トーヤとサヤには 全部話したよ そうかい,I talked about Toya and Saya,0.3
They were both pretty angry.,怒ってたぞ ２人とも,I'm angry,0.125
"Well, l did cause a lot of trouble for them.",あの子たちには 迷惑をかけたからね,Because those children were annoyed,0.0
He's a townsman through and through.,あの子は 根っからの街っ子だからね,That child is a root of the root,0.07692307692307693
But it's still too soon.,でも まだ早い,But still early,0.25
"Let's eat, shall we?",いただこうか,Maybe,0.0
"You know, Balsa, the whole town is full of gossip about you now.",なあ バルサ,Nana Balsa,0.06666666666666667
No one would ever guess that the subject of their gossip...,ウワサの人物が こんな所で飯を食ってるなんて―,Who is the person of Uwasa eating rice in such a place-,0.09090909090909091
"Maybe so, but...",しかしだな…,But ...,0.4
Care to put it to the test?,試してみるかい？,Do you want to try?,0.18181818181818182
Have you heard of a bodyguard who goes by the name...,あんた 短槍のバルサって用心棒 知ってるかい？,Do you know the core bar of Balsa of Aunt?,0.15789473684210525
She's the talk of the town at the moment.,そいつは 今 この街で１番 熱い話題だな,That is the hottest hot topic in this city now,0.05555555555555555
"Let me guess, you're new in town, aren't you?",さては ねえちゃん 最近この街に入ったか？,"Well, did you enter this city recently?",0.16666666666666666
