en_text,jp_text,google_translated,score
There was supposedly a volleyball team called the Witches of the East a long time ago.,	そういえばさ 昔バレーボールに東洋の魔女ってのがいたんだって,"Speaking of which ago, the Oriental witch was in the old-fashioned volleyball",0.22727272727272727
What's that about?,	へえ 何それ,How much,0.0
I don't really know.,	よくわかんないけど,I do not know well,0.375
You can't use magic in sports!,	スポーツに魔法使っちゃだめだろう,It will be a magical use in sports,0.23076923076923078
Well you can't use magic in the first place...,	魔法使うんじゃないの,I do not use the magic,0.21428571428571427
They don't cosplay in the Olympics!,	オリンピックでコスプレしないでしょう,I will not cosplay at the Olympics,0.25
There's no such rule!,	そんな特権ねぇし,Such privileged,0.14285714285714285
I wouldn't mind some magical boys.,	だから 魔法少女って言ってんじゃ,So I say a magic girl,0.07692307692307693
Even if there was a magical high school boy!,	いいじゃん 魔法少年がいても,Even if there is a magic boy,0.4166666666666667
He's a magical high school boy.,	魔法男子高校生がいても,Magical Men's high school student,0.4
"When you put it that way, it kinda ruins it.",	そういう言い方すると なんか台無しだな,"If you say that way, something is wrong",0.26666666666666666
"Potter's probably some guy locked in his own room, lazing around",	ポッターも部屋に屯してだべったりパンツ被ったりしてるんだよ,Potter is also in the room and it is pants and pants are covered,0.14285714285714285
I'm sure he does!,	してねぇよ,I'm sorry,0.2857142857142857
She threw that block at us!,	ブロック投げてきたぞ,I've been throwing a block,0.08333333333333333
"It all started on December 24th,",	ことの発端は12月24日に,The beginning of the thing is on December 24,0.15384615384615385
"when Hidenori, who had come over to Yoshtake's house to hang out,",	ヨシタケの家に遊びに来たヒデノリが,Hidenori who came to play at Yoshitake's house,0.29411764705882354
casually blurted out a few words to his older sister.,	モトハルの髭を顎ごと剃り落とした張本人だぞ,It is a jaw who has a shabe and shaved shaved to shave,0.1
"You're always home on Christmas, aren't you?",	クリスマスはいつも家にいますね,Christmas is always home,0.2727272727272727
But I didn't mean it like that!,	へ そんなつもりなかったのに,Even though I did not mean that,0.3333333333333333
I thought she was a kinder and cooler person than this!,	もっとクールでやさしい人だと思ってた,I thought it was a more cool and kind person,0.375
Are you kidding? She's crazier than me!,	あの人は俺より馬鹿なんだよ,That person is stupid than me,0.14285714285714285
Yoshitake!,	ヨシタケ,Yoshitake,0.5
There are couples everywhere!,	カップルだらけだ 恥ずかしい,Couple is embarrassing,0.0
I'm embarrassed!,	何の解決にもなってないっすけど,I'm not doing any solution,0.25
How did I end up like this?,	見失ったか,Did you lose your sight?,0.16666666666666666
I could pretend to be your boyfriend...,	その せめてふりだけでも,Even if it is pretended to be,0.15384615384615385
Are you retarded?!,	馬鹿かお前は,Idiot or something,0.0
Don't sing!,	歌うな,Sang,0.0
Daily Lives of... High School Boys.,	男子高校生の日常はご覧のスポンサーの提供でお送りします,Men's high school student's daily life will be sent by offering sponsorship,0.16666666666666666
Mornin'.,	おはよう,good morning,0.0
Sup.,	おーす,Hey,0.0
Long time no see.,	久しぶり,long time no see,0.8
"No, I didn't.",	ゲームやってた,I did a game,0.25
What did you do over winter break?,	冬休み何やってた,What did you do in winter holidays,0.5
"Oh, that action game where you fight by kicking?",	あの蹴りで戦うアクションゲーム,Action game fighting with that kick,0.21428571428571427
"If you touch the townspeople, you'll get a combo attack that ends in instant death.",	町の住人に触ると連続ヒットして即死するんだよな,"If you touch the residents of the town, they hit continuously and die immediately",0.19230769230769232
"The game is so bad that the trick to winning is hitting ""continue"".",	コンティニューは裏技みたいなゲームだな,Continue is a game like trick,0.25
How do you know that much?!,	何でそんなに詳しいの,Why is that much more detailed,0.16666666666666666
