en_text,jp_text,google_translated,score
Slash them all,（アラシ）斬り倒せ,cut off,0.0
King – of – claw!,キングオブクロースパイラル！,King of Claus Spiral!,0.42857142857142855
The Great Ancient Treasure Z,古大秘宝「Ｚ」は…,"The old treasure ""Z"" is ...",0.3
could be in that volcano,あの火山にある…,It is in that volcano ...,0.375
I must tell them . as soon as I possibly can,かもしれない,Might,0.0
Oh??,（アラシ）おっ？,?,0.5
"Hey is that , Onigiri and them? .",あれか オニギリたちは,That's the onigiri,0.18181818181818182
Oh no!,ガオォー！,Gaoh!,0.25
Did Death Metal do him like Ankyro?,"まさか
アンキロみたいに デスメタルが？","Masadish
Is there a death metal like Ankiro?",0.3076923076923077
an enemy?,あれが敵！,That is an enemy!,0.3333333333333333
Was it a draw?,それとも まさか キャビアか!?,Or it is a caviar?,0.375
Foie Gras!?,誰だ？　フォアグラ!?,Who? Foie gras!?,0.8
"So where's the enemy then? ,",寝てる　じゃあ 敵はどこだ？,Where are you going to sleep? Where is the enemy?,0.2857142857142857
Hold on What's Father doing here??,"って なんで
親父が ここに？","Why
My father is here?",0.2727272727272727
Hey Father Wake up What are you doing here Wake up Come on!,"なんでここにいるんだ？
起きろよ おい！","Why are you here?
Get up!",0.3333333333333333
"Oh neat look at that It's a ,","（イカヅチ）
おっ？　おお〜 よしよし
生きのいいゾイドだな","Oh?Oh yesterday
It's a good way of life",0.26666666666666666
"It's not time to sleep! , It's been 10 years! .","寝ぼけてんじゃねぇよ！
10年ぶりだぞ","I'm going to sleep!
It is for the first time in 10 years",0.35
I'LL ADORE HIM TO BITS!!,"（殴る音）
（イカヅチ）かわいがってやるぜ！",I'm cute!,0.2222222222222222
"huuh? . Hey , Isn't mark",ん？,Yeah?,0.1111111111111111
Arashi . Hey – Arashi!,（イカヅチ）アラシ　おい アラシ,Arashi Aoi Arashi,0.16666666666666666
Just five more hours,（アラシ）ん？　あと５時間だけ…,?5 more hours ...,0.2857142857142857
"Get up , It's morning already","（イカヅチ）
起きろ　とっくに朝だぞ",I will do it in the morning,0.16666666666666666
Oh good morning Papa .,お父ちん おはよう,Good morning,0.4
Father!!,親父！,father!,1.0
That's the first time you called me &quot;Father&quot; instead of “Papa”,"“親父”だなんて呼ばれたのは
初めてだな","It was called ""Father""
It is the first time",0.22727272727272727
"Father , haven't you got anything else to say?","親父！
何か俺に言うことないのか？","father!
Do you not say something?",0.26666666666666666
That's not what I mean!,そうじゃなくて！,It's not that!,0.5
Why are you here with my team right now?,なんで みんなと一緒にいるんだ？,Why are you with everyone?,0.45454545454545453
Did you find out anything new about Z?,"（ソルト）
「Ｚ」のことは
何か分かったのか？","""Z""
Did you understand something?",0.3076923076923077
"Let's just put my , Father aside for a little while then","え〜っと じゃあ
親父は ちょっと置いといて","Well
My father places he",0.125
Alright So about the Great Ancient Treasure Z,先に 古大秘宝「Ｚ」だけど,"The old treasure ""Z"" first",0.25
Apparently . it's in that volcano,"どうやら
あの火山にあるらしいんだ","Apparently
It seems to be in that volcano",0.5
"What? , Over there?",（オニギリ）えっ あそこに？,Eh Go over there?,0.42857142857142855
Yeah Let's do it.,だったら すぐ出発しましょう,Let's leave immediately if it is,0.3
Oh? You looking for Z too?,"（オニギリ）
あれ？　おじさんも「Ｚ」を？","that?My uncle is also ""Z""?",0.14285714285714285
I couldn't give 2 cents about it.,んなもんは どうでもいい,I do not care about,0.16666666666666666
So then why do you--?,おう 行くか,Do you go,0.25
I heard that there's supposed to be a herd of Raptors on the way up there.,"途中にラプトールの群れが
住んでる場所があるらしくてな","A flock of Laptol on the way
It seems that there is a place to live",0.3333333333333333
A whole herd of Raptors?!,ラプトールの群れ？,Flock of Laptor?,0.2222222222222222
I want to go see 'em!,（イカヅチ）それを見に行く,go to see it,0.375
Sorry Arashi . We were so stuffed that we fell asleep,ごめんね アラシ,Sorry Arashi,0.2
ALL his food??,"（ペンネ）ぜ〜んぶ くれたの
（アラシ）全部？","Thank you
 all?",0.3333333333333333
No he just doesn't think of consequences,後先 考えてねぇだけだ,I think just thinking,0.2
I'll never become like him!,俺は ああは ならないぞ！,I'm not ah!,0.2
You already are though,もう なってるけど,I'm already,0.16666666666666666
I was so surprised to learn,（ペンネ）でも 驚いたわよ,I was surprised at,0.42857142857142855
that your Father's partner Zoid's also a Grachio,"アラシのお父さんの相棒ゾイドも
グラキオだなんて","Arashi's father's buddy zoidos
It is Glacio",0.13333333333333333
So you prefer older girls then do you Onigiri?,"そうか そうか オニギリは
年上のおねえさんが好きなのか","Oh yeah or green onigiri
Do you like older sisters?",0.3333333333333333
You trying to embarrass me?,（３人）ん？,?,0.16666666666666666
You know what they say don't you,大きな声で言わないでくださいよ〜,Please do not say in a loud voice ~,0.14285714285714285
It's worth every effort to find an older wife,"少年よ 大志と年上の女房を抱け
ってな","Boy, Holding an older wife
In",0.21428571428571427
You said a meteorite was falling into the village,"村に隕石(いんせき)が落ちてきた
ところまでです","Meteorites  came down in the village
It is up to the place",0.1111111111111111
What happened after that then?,どうなったんですか？,What happened?,0.5
"That's awesome! ,","おお〜 隕石を？
すごいです！","Oh ~ Meteorite?
it's great!",0.18181818181818182
Is that true?,"（ペンネ）本当？
（アラシ）マジだ","true?
 Seriously",0.4
No waay!,"木っ端みじんってもんよ！
ハハハッ","Wooden end!
Ha ha ha",0.16666666666666666
"Smashed a meteorite , He is strong",隕石を破壊… 強いな,Destroy meteorites ... strong,0.1
Then I started traveling .,見たかったなぁ,I wanted to see,0.125
The world is so huge,んで 旅に出た　世界は広い,The world that came out is wide,0.3333333333333333
Bigger than you can ever imagine,想像以上に広い,More than imagined,0.125
The wind,気の向くまま 風に背中を押されて,Push the back in the wind of the mind,0.2857142857142857
And I saw many rare Zoids during my travels too,珍しいゾイドを探し回ってたわけだ,I was looking for a rare zoid,0.13333333333333333
Like what zoids?!,ハハハッ！,Hahaha!,0.16666666666666666
What different kinds of rare Zoids have you seen?,"どんな？
どんな珍しいゾイドに会いました？","what kind?
What kind of rare zoid did you meet?",0.35714285714285715
I have to say the rarest,"いちばん珍しいのは
なんといっても…","The most rare
Anyway ...",0.1
"has got to be , Wild Liger!",ワイルドライガー,Wild Riger,0.1111111111111111
Oh wow Really??,そうなんですか？,Really?,0.5
it to become Arashi's partner of all things,"まさか
アラシの相棒になってたとはな","Masadish
It has become an arashi's partner",0.4166666666666667
Well done there buddy,あちこちで 伝説は耳にしたが,The legend has heard here and there,0.1
Mmhm I'm glad,うんうん いいねぇ,I'm sorry,0.4
"Look at 'em ,","お前も見ろ
あの楽しそうなゾイドを","Look at you
That fun zoid",0.25
But that volcano,"（イカヅチ）でも あの火山…
（アラシ）ん？","But also the volcano ...
?",0.2857142857142857
Why do you look so puzzled!?,"なんで
そんな普通でいられるんだよ？","why
Is it so normal?",0.2727272727272727
", it's been three months Right",３か月ぶりだろ？,It's been three months?,0.625
Are you joking?,あっ？,Ah?,0.2
It's been 10 years!,マジか！　10年たってたのかぁ,Seriously!10 years ago,0.375
Guess I was so engrossed in searching for Zoids I didn't notice,"珍しいゾイド探すのに夢中で
気付かなかった","In a dream of rare zoidos
did not notice",0.16666666666666666
Time sure flies doesn't it Arashi?,"どうりで アラシが
だいぶ大きくなってると思った","Arashi
I thought it was bigger",0.16666666666666666
I couldn't have grown so big in just three months.,"当たり前だ！　３か月で
こんな大きくなるわけねぇだろ","No wonder!In three months
It's such a big deal",0.2
10 years already,10年か,10 years,0.6666666666666666
O-Oh Good!,"（アラシ）すげぇ元気だよ
（イカヅチ）よかった！","I'm fine
 was good!",0.2857142857142857
So you've been looking for rare Zoids all this time huh?,"（アラシ）ずっと
珍しいゾイドを探してたのか？",Did you look for rare zoids?,0.3333333333333333
I travel based on the rumors I hear,噂(うわさ)を聞いちゃあ あちこちな,I heard the rumor,0.2222222222222222
I've met tons of people too,"ゾイドだけじゃねぇ
いろんなヤツらに出会った","Just only Zoids
I met various guys",0.16666666666666666
There was a legendary Zoid master,伝説のゾイドマスターに,To legendary zoidmaster,0.125
a Kungfu master and,カンフーの達人に,To Camphe's master,0.14285714285714285
"Oh and , I even had a meal with some fellow Zoid lovers like me","ああ〜 ゾイド好きなヤツらと
飯食ったこともあったな","Oh ~ Zoido favorite guy
I had eaten my meal",0.19047619047619047
". They were called , Metal Death or something like that","（アラシ）デスメタルか!?
（イカヅチ）そうだ それだ それ","Death metal or?
 That's it that",0.2857142857142857
But Death Metal makes everyone's life miserable How could you,"デスメタルには みんな
ひどい目に遭わされてんだぞ","Everyone in Death Metal
I'm awful",0.2
How could you share a meal with those guys?,仲よく 飯食ったりしたのかよ,I wondered if I had a meal well,0.13333333333333333
