en_text,jp_text,google_translated,score
"While Ritsu was mistaking Dimple  for a creepy-looking balloon,",律が エクボを不気味な風船だと 勘違いしていた そのころ,It was misunderstood that the law was a spooky balloon,0.1875
"the rumors about Mob, who kicked around Hanazawa—",黒酢中の裏番 花沢を 蹴散らしたモブのウワサは,Mob's Uwasa who kicked the back of the black vinegar,0.26666666666666666
"Hey, have you heard about the shadow leader at Salt Middle School?",黒酢中の裏番 花沢を 蹴散らしたモブのウワサは,Mob's Uwasa who kicked the back of the black vinegar,0.043478260869565216
The one in the white T-shirt?,黒酢中の裏番 花沢を 蹴散らしたモブのウワサは,Mob's Uwasa who kicked the back of the black vinegar,0.06666666666666667
"the shadow leader of Black Vinegar Middle School, were starting to take a life of their own.",さまざまな尾ひれが付けられ 独り歩きを始めていた,Various tails were attached and started to walk alone,0.08
"You mean White T Poison, right? white t poison...",“白Ｔポイズン”,"""White T Poison""",0.2727272727272727
Noodle Soup Middle School so the next target is salt middle school...,次の標的は塩中か～,The next target is salt or,0.4166666666666667
White T Poison is my prey.,白Ｔポイズンは 俺の獲物だ,White T Poison is my prey,0.8571428571428571
Soy Sauce Middle School this is my chance to shine.,目立つチャンスだな,It's a noticeable chance,0.06666666666666667
And thus the fierce battle to fight  White T Poison was about to begin.,こうして 白Ｔポイズンを巡る 熾烈な戦いの火蓋が—,"Thus, a fierce battle surplus over white t poison-",0.2631578947368421
Onigawara Leadership: 1500 Moderate Faction: 4,こうして 白Ｔポイズンを巡る 熾烈な戦いの火蓋が—,"Thus, a fierce battle surplus over white t poison-",0.0
White T Poison Attack Power: ???P,こうして 白Ｔポイズンを巡る 熾烈な戦いの火蓋が—,"Thus, a fierce battle surplus over white t poison-",0.125
Kenzaki Leadership: 1000 Extremist Faction: 5,今まさに 切って落とされようとしていた,It was about to cut off and dropped,0.0
Akagi Leadership: 1000 Moderate Faction: 2,今まさに 切って落とされようとしていた,It was about to cut off and dropped,0.0
Gozu Leadership: 1100 Extremist Faction: 5,今まさに 切って落とされようとしていた,It was about to cut off and dropped,0.0
Fuji Leadership: 1400 Extremist Faction: 3,今まさに 切って落とされようとしていた,It was about to cut off and dropped,0.0
Bandai Leadership: 1300 Diehards: 1,今まさに 切って落とされようとしていた,It was about to cut off and dropped,0.0
"Man, thanks for helping me out.",いや～ 助かったぜ,No ~ I was saved,0.0
"I managed to make it back from the particle level by myself,",素粒子レベルの状態から 何とか自力で復活したものの,Some of them revived from the state of elementary particle level,0.21052631578947367
"but my spiritual energy is way  less than what it used to be,",霊力が前より更に 激減しちまったせいでさ,The spiritual power has been drastically reduced more than before,0.09090909090909091
so I wasn't able to get into the house anymore.,このうちに 入れなくなっちまってよ～,It is not possible to put in this house,0.10526315789473684
It appears that low-level spirits,茂夫が住んでるってだけで,Just only lives,0.0
can't even go near this place  just because Shigeo lives here.,低級霊は近づくことさえ できなくなってるみたいだ,Lower spirit seems to be unable to get close,0.0
But the first thing that I need to do is...,でも 最優先にやるべきは…,But it should be done with the top priority ...,0.16666666666666666
What? I have psychic powers?,うっ… 何だと？ 僕が超能力を？,Uh ... What?I am super capabilities?,0.2727272727272727
The fact that you can see me is proof.,俺様を視認できているのが その証拠だ,It is the evidence that I can see me,0.46153846153846156
I'm Dimple. I'm basically what they call a ghost.,俺様は エクボ！ 俗に言う幽霊だ,I am Ekbo!It is a ghost to say,0.17647058823529413
"I see you haven't realized what your powers are, let alone how to use them.",おっとっと… 使いこなす以前に 自覚がないんだな？,Otto ... I'm not aware before using it?,0.037037037037037035
Go ahead. You should be able to do that now.,やってみな 今のお前なら できるはずだぜ,I'm going to do it now,0.2
I shouldn't get my hopes up.,期待しちゃダメだ,It is no good expecting,0.0
It's a world that's out of my reach...,僕には届かない世界なんだから,Because it is a world that does not reach,0.35714285714285715
What's with him? Does he  have a complex or something?,何だ？ こいつ コンプレックスでも持ってたのか？,What?Did this he had in the complex?,0.23529411764705882
"Well, it's understandable, given who his brother is.",まあ 兄貴が あれじゃ しょうがねえか,"Well, my brother is there",0.3076923076923077
if you want to surpass your brother.,兄を越えたいと思わないか？,Do you want to cross your brother?,0.45454545454545453
Is that possible?,待て！ できるのか？,wait!Can you do it?,0.1
I can be like my brother?,僕が兄さんに近づくことが…,I have approached my brother ...,0.3
He doesn't seem to have an appetite.,食欲ないみたい,I want to have an appetite,0.36363636363636365
He seemed oddly happy.,いや 妙に うれしそうだったわね,"No, I was glad I was happy",0.1
How do I get to use my powers freely?,どうやったら“力”を自由に 使いこなせるようになる？,"How can I use ""power"" freely?",0.35714285714285715
"It's better to actually try them out,  rather than explain, Ricchan.",説明するより やってみたほうが早えぜ 律ちゃん,It is better to try more than explaining,0.29411764705882354
I can't control his body!,なに？ 体を操作できない？,what?Can you operate your body?,0.07692307692307693
I heard that the student council  took care of the problem.,生徒会が 事件 解決したんだってな？,Did the student council solved the incident?,0.2
"It's because I'm controlling the output,",俺様が 出力を 調整してやってるおかげだが,Thank you for adjusting the output,0.15384615384615385
