en_text,jp_text,google_translated,score
"Here at Talisman Saloon, we only discuss the affairs of others.",ここ　タリスマン·サルーンで語られる物語は,The story to be told by Talisman Saloon,0.16666666666666666
One of my friends is in quite a bind right now.,私の友達が　今すごく困ってて,My friend is still in trouble now,0.26666666666666666
"So I'd like to talk about her, Talisman.",だからその子のことを話したいの タリスマン,So I want to talk about that child Talisman,0.42857142857142855
"Of course! Then, please tell me...",よろしいですとも,It is good,0.0
But that's not the problem.,でも　それはいいの,But that's good,0.375
"At her work, she has this subordinate... or rather a senior colleague...",その職場で部下っていうか　先輩っていうか,I say whether it says in the workplace or senior,0.09090909090909091
"Anyway, so she's got this colleague who is hard to describe.",ちょっと説明の難しい同僚がいてね,There is a difficult colleague for a moment,0.10526315789473684
"When carrying out her work, she can't avoid him, but...",仕事をやっていく上で彼のことを避けては通れないんだけど,I can not avoid him in doing work,0.16666666666666666
Is he the sort that she doesn't do well with?,苦手なタイプなのですか,Is it not good?,0.13333333333333333
He does some crazy things.,その人 やることがめちゃくちゃで,That person doing is fun,0.0
But there are times that she feels that what he's saying is right.,でもね　正しいことを言ってるなって思うときもあるの,But there are times when I think that I'm saying correct things,0.3
So she thought she might be able to trust him at some point.,だから　信用できるかなって思ったりもしたんだけど,So I thought I could trust it,0.1875
Maybe your friend was engaging in wishful thinking about her colleague.,君のお友達はその同僚に幻想を見ていたのかもしれませんね,Your friends may have seen the fantasy for their colleagues,0.047619047619047616
Do you think it's wishful thinking?,幻想なのかな,Is it fantasy?,0.2
I think she needs to first discard this preconception,まずは先入観を廃して,"First of all, abolish the precedence",0.06666666666666667
and then face his true character.,ありのままの彼と向き合ってみる必要があるんじゃないかな,I wonder if I need to face him as it is,0.0625
Why don't you give this advice to your friend?,お友達にはそうアドバイスしてあげたらどうだろう,How would you give your friends to advice so?,0.4
"Please share with me, Talisman, the difficulties experienced by those adrift.",迷える人々の悩ましき日々をこのタリスマンめにお聞かせください,Please tell us this Talismanney for the trouble of being lost,0.09090909090909091
The answer is always hiding inside your story.,答えは常にあなたの物語の中に隠れています,The answer is always hidden in your story,0.5454545454545454
Face his true character... huh?,ありのままの彼と向き合うか,Do you face him as it is?,0.15384615384615385
I still don't know how I should deal with him.,あの人にどう接していいのか いまだに分からないんです,I do not know how to get in touch with that person,0.2777777777777778
