en_text,jp_text,google_translated,score
"Materials being mass produced, without any human intervention.","{\pos(639,640)\q1}	人の手を介さず生産されていく",Produced without people's hand,0.15384615384615385
Are fairies really operating this factory?,"{\pos(639,640)\q1}	本当にこの工場は　妖精さんたちが運営しているのでしょうか",Is this factory managed by fairy?,0.2727272727272727
Or is another scary something at work here?,"{\pos(639,640)\q1}	それとも　別の恐ろしい何かなのでしょうか",Another horrible something?,0.3
"When I awake, you're smiling",	目が覚めたなら　君が笑って,"If you woke up, you laugh",0.18181818181818182
I thought it would always be like this,	そんな世界が続くと思ってた,I thought that such a world continued,0.15384615384615385
Of course it fell short of being realistic,	当たり前には　少し足りない,It is a bit enough before,0.08333333333333333
From my crooked perspective the night seemed still blue,	歪んだ視界から見てた　蒼い夜,A blue night watched from a distorted view,0.23076923076923078
but dawn crept in like a declaration of love,	何度目の朝で　打ち明けた恋のように,Like a love that has been hit in the morning,0.26666666666666666
"we approach each other, delicately",	近づいてく僕ら　デリケート,Approaches we delicate,0.125
There is something to be said for that,	それが全てだなんて　笑い飛ばそう,It seems that it is everything,0.18181818181818182
"I have chocolate, too, as a reward",	甘い夢を見れたら,If you have a sweet dream,0.16666666666666666
Walk straight for the hill there,	あのままで進め　ストレート,Advanced with that while straight,0.1
and keep listening to things you can't see,	知れば知るほど　分からなくもなるくらい,It will be enough to know if you know,0.13333333333333333
for the voice that beckons us on,	聞こえた　手招きする声,Invite voice to hear,0.1
What a strange world this is,	不思議な世界,Mysterious world,0.14285714285714285
Is the company aware of the current situation?,"{\pos(639,640)\q1}	あの　受付さん　会社のほうは今の状況ご存知なのでしょうか",What is the situation of that receptionist?,0.45454545454545453
I've never met any other employees.,"{\pos(639,640)\q1}	さあ　ほかの社員には会ったこともありませんから",I have never met other employees,0.5555555555555556
Naturally not.,"{\pos(639,640)\q1}	当然　知りません",Naturally I do not know,0.3333333333333333
I doubt that the fairies would ever hire a human...,"{\pos(639,640)\q1}	妖精さんが人を雇うなんて　考えにくい話です",The fairy is a difficult story that hires people,0.17647058823529413
Grandpa?,"{\pos(639,640)\q1}	おじいさん",Grandpa,0.5
Oh?,"{\pos(639,640)\q1}	あれ　お手洗いですかね",Is it a bathroom?,0.16666666666666666
"We waited for ten minutes,","{\pos(639,640)\q1}	十分ほど待機しましたが　おじいさんは現れませんでした",I waited for enough but I did not appear,0.16666666666666666
He isn't coming back...,"{\pos(639,640)\q1}	おじいさん　この件は・・・",Grandpa This matter is ...,0.2222222222222222
I'll go and take a look.,"{\pos(639,640)\q1}	ちょっと見てきますよ　少し待っていていただけますか",I will look for a moment I wonder if you are waiting a little,0.17647058823529413
"But the receptionist never came back, either.","{\pos(639,640)\q1}	そして受付さんもいつになっても戻って来ませんでした",and the receptionist did not come back whenever,0.21428571428571427
I thought we were heading back toward the bread factory...,"{\pos(639,640)\q1}	パン工場に戻ったつもりが",I will return to the bread factory,0.2857142857142857
