en_text,jp_text,google_translated,score
"What are you doing, Shun?",何やってんだよ　春,I'm sorry Spring,0.0
Couldn't you at least have worn your blazer to the opening ceremony?,祐希　始業式ぐらいブレザー着てこいよ,Yuki Own Formula About Blazer,0.05555555555555555
"Yuuta, you're his older brother.",悠太も　兄貴だったらその辺ちゃんと言っとけ　こいつに,"If Yuta is also a big brother, it is one of them",0.1111111111111111
"Shun, you've got a petal on your head.",春　花びら頭についてるよ,Spring petals,0.0
We spent many seasons together after that.,そして　何度も同じ季節を迎え,And again and again celebrating the same season,0.0
It's another beautiful spring.,今年の春もうらら,Spring of this year's spring,0.2222222222222222
We entered our second year at Homare High School this year.,僕らは穂希高校の二年生になった,We became a second grade of Hozuki High School,0.25
"Oh hey, it's you?",やっぱり君だよね？,After all you are you?,0.2
You startled me,ほんと驚いたよ,I was really surprised,0.0
"honto odoroita yo here we are, on the tree-lined road we walked so often",２人よく歩いた並木通り,Two people walked well,0.058823529411764705
"I couldn't wait to grow up, and kept you at a distance, didn't I?",大人になるのを待てずに遠ざけていったのは,It was far away without waiting for an adult,0.0
lay heavy on my heart all the time,冷たすぎるナミダ,Namida too cold,0.0
Does it really matter?,別にいいじゃねぇか　何買ったって,It's not good or something I bought,0.08333333333333333
I've got plenty of barley tea in my fridge at home.,家に帰ればいくらでも冷蔵庫に麦茶入ってるのに,"Even if I go home, I'm in a fridge in a refrigerator",0.2
Must be nice to be rich.,やっぱりぼんぼんは余裕だね,After all I can afford,0.0
"If you're gonna buy oolong tea,",ウーロン茶買うくらいなら　牛乳買えばいいのに,"If you buy Uolong tea, you should buy milk",0.4166666666666667
Yeah. You've gotta get your calcium intake.,ね　カルシウム取らなきゃだよ,You're going to take calcium,0.14285714285714285
"Kaname, I'm sure you'll end up buying love with money, too.",要絶対最終的に愛もお金で買ってるよ,I'm absolutely I finally bought love with money,0.2777777777777778
Let's go up to the roof.,まあまあ　皆で屋上行きましょうよ,Well everyone will go to the rooftop,0.25
"This whirlwind of sakura petals,",桜吹雪が舞いあがる,Cherry blossoms dance,0.0
"or rather, this spring clouded by dust,",というより砂埃が舞う春は,Spring dances rather than,0.2
can't begin to satiate the hunger of us growing boys.,育ち盛りの僕たちにとって,For us of raising,0.14285714285714285
The wind's strong.,あー　風つえー,Ah style,0.0
Who suggested we eat lunch on the roof?,誰だよ　屋上で弁当食おうなんて言い出したのは,Who is to say that it is a lunch box on the rooftop,0.23529411764705882
But the weather's nice.,だって　せっかく天気いいのに,Even though the weather is good,0.2
It'd be a waste to eat in the classroom.,教室じゃもったいないじゃないですか,I wonder if it's not a classroom,0.1875
It's a bigger waste if my food gets covered in sand.,おかずが砂まみれになる方がもったいねぇっつの,It is better if the side dishes are sedimented,0.1
You can take one of my sandwiches if you'd like.,じゃ　僕のサンドイッチから好きなのを,Then I like it from my sandwich,0.125
"You don't need to give Kaname anything, Shun.",要なんかにあげなくても大丈夫だよ　春,It is okay if you don't give it to you,0.3333333333333333
Just eat them yourself.,ちゃんと自分で食べなさい,Eat yourself properly,0.3333333333333333
"Kaname, why are you making such a fuss over a couple of pieces of food?",要　何おかずの一つ二つで騒いでんの,It is noisy with one thing about,0.0
You were just buying some  oolong tea like some rich kid.,さっきはリッチにウーロン茶買ってたのに,I just bought Uolong tea in Rich,0.2
"Get off my back, you two twins.",そこの双子　いちいちつっかかってくんな,Twins there is only one,0.07692307692307693
I'm tired of getting mixed up in your business.,俺はお前らの巻き添え食らうっつうのが腹立つんだよ,I'm getting angry with your windows,0.2857142857142857
"even if it's covered in sand,  it'll all be the same in my stomach.",ま　砂ついても 腹に入りゃ同じだけど,It is the same if I get sede even if I get angry,0.23809523809523808
"This is the first time you've  been in the same class, isn't it?",要君と祐希君同じクラスになるの初めてですよね,It is the first time to be the same class with Mr. Kana and Yuki,0.3181818181818182
What?,分かってんだろう,I understand,0.0
Is that so?,あ　そうなんですか,That's right,0.16666666666666666
I don't intentionally ignore anyone.,別に故意に無視しようなんて思ってないよ,I do not think that I want to ignore it separately,0.21428571428571427
Their words simply don't resonate with me.,ただ誰の言葉も俺の中にまで響かないだけで,Just no matter what words are they in me,0.125
You just aren't listening to them.,単にお前が人の話を聞いてねぇだけだ,Simply listen to the story of people,0.07142857142857142
"As long as it isn't hurting anyone, who cares if he's a lone wolf?",一匹狼って言っても　誰かを傷つけてるわけじゃないし,"Even if you say one, you're hurting someone",0.13043478260869565
Being ignored is plenty hurtful.,無視されたら十分傷つきますよ,It will hurt enough if it is ignored,0.18181818181818182
Yuuki's not nearly accommodating enough nor considerate enough.,大体祐希は　普段から協調性っつうか,Omaku Yuki is usually coordinated from usual,0.0
