en_text,jp_text,google_translated,score
so,♪～,♪ ~,0.0
Le-Le-Le-Le-Let's run away,"（杏子）
これでいい…",It's OK…,0.16666666666666666
"the world is a limitless,",でも 息すると 鼻息 出るし…,"But if you breathe, it will come out of the nose ...",0.11764705882352941
kokoro wa ai to iu hate no nai,～♪,~ ♪,0.0
prison!,"（藤野(ふじの)清志(きよし)）
長い！","Kiyoshi Kiyoshi)
long!",0.2
"Good Morning, Prison!","（ガクト）
フフフ…",Fuhufu ...,0.0
I know about the hidden treasure you buried behind the school.,"所詮 あなた方のようなクズは
この学園に不要だったのよ","After all, like you are
It was not necessary for this school",0.09090909090909091
First and Lastname,キャーッ！,Care!,0.0
Falling in love with someone,そもそも 君たちは,You are also in the first place,0.09090909090909091
Lots of things happen in our daily lives,"女子風呂をのぞいた罪で
プリズンに収監された","In the sin of a girl bath
Supervised by Prison",0.125
Dream of \NThe Red Chamber,更に この理事長室で,"Furthermore, in this chamber",0.1111111111111111
Records of the Three Kingdoms: Modern Translation,"裏生徒会は
いくつもの校則違反を犯しました","The back student party is
I made a violation of several school rules",0.10526315789473684
Board Chairman's Office,"（竹ノ宮(たけのみや)ケイト）
以上のように",As described above,0.0
"For breaking school rules,\Nthe three USC members \Nare going to prison!!","あの３人がプリズン行きって
本当？","That three people go to Prison
true?",0.15789473684210525
