en_text,jp_text,google_translated,score,semantic_score
White Cats will taste defeat! \NTouwa guys will not be beat!,"（黒犬男子たち）
打倒！　白猫！　ぶっ倒すぞ！",overthrow! White cat!I'll beat it!,0.1875,0.6856141
White Cats will taste defeat!,"（黒犬男子たち）打倒！　白猫…
（蓮季(はすき)）もっと速く！","overthrow! White cat…
) More faster!",0.18181818181818185,0.61127275
Faster! You won't beat the White Cats \Nat the sports festival next week like that!,"それじゃ 来週の体育祭で
白猫に勝てないゾ！","Well then at the sports festival next week
Szo who can not beat white cat!",0.3333333333333333,0.6696647
"Hey, Persia.",（犬塚(いぬづか)）なあ ペルシア,) Nana Persia,0.16666666666666666,0.6917946
"We've been dating for a while, right?","俺たち 付き合ってから
割とたつよな","After we get along
Better",0.07142857142857142,0.2871377
I'm starting to want it.,"そろそろ欲しいんだよ
食べちまいてえ…","I want it soon
I'm eating ...",0.4,0.47730964
You want it? What do you mean? \NAre you hungry for power?,"（ペルシア）え？　うん
それがどうし…","? Yes
What is it ...",0.21428571428571427,0.17646147
I shouldn't have to tell you.,"とぼけんなよ
言わなくても分かるだろ？","I'm sorry
You can see even if you don't say?",0.17647058823529413,0.44568232
Make one for me.,俺のために作ってくれよ,Make it for me,0.5,0.73097223
M--make...?,弁… 当…？,Valve ... Toka ...?,0.2857142857142857,0.15909135
What are you talking about? \NI'm talking about a handmade bento!,ダメよ！　私たちまだ学生よ？,No!Are you still a student?,0.3333333333333333,0.06471369
Bento?,いいの？,okay?,0.3333333333333333,0.14231771
I have a responsibility \Nto answer to my people.,"民衆の願いに応えるのが
ノブレス･オブリージュよ","In response to the wishing of the people
Nobeless Obrage",0.1176470588235294,0.22721314
"You're not obligated or anything. \NAnd what did you think I meant by ""make""?","にしても
何を作ると勘違いしてたんだ？","even if
What did you do to make?",0.2272727272727273,0.4957242
Shut up! One more word \Nand I'll rip your jaw bone out!,"それ以上しゃべったら
下顎骨(かがくこつ) 引っこ抜くわよ！","If you talk more than
Mandible  pulling out!",0.15,0.40618333
What!,（ペルシア）だっ 黙りなさい！,silent silent!,0.3333333333333333,0.29118577
Boarding School Juliet,～♪,~ ♪,0.0,0.14806429
BLACK DOGGY HOUSE,フフフフフ…,Huhofufufu ...,0.0,0.105205655
"Inuzuka, say ""Ah""!","（ペルシア）
あー もう！",Oh!,0.125,0.26257902
My dream of having my girlfriend feed me \Nher hand cooked food!,"（犬塚）彼女に手料理を
あ～んしてもらう俺の夢が！","Her cuisine
My dream to get it!",0.17647058823529413,0.59107006
"If I don't hurry, class is going to start.","早くしないと
授業始まっちゃうのに～","As soon as possible
I will start classes ~",0.1111111111111111,0.69252884
"What is it, Miss Kitchen Maid?",何でしょう キッチンメイドさん,What a kitchen maid,0.3333333333333333,0.8263046
I'm hearing sounds that don't sound like cooking.,"効果音が
料理を作ってる音じゃないわ","Sound effect
It's not a sound that is making cooking",0.16666666666666666,0.77040553
Really?,"そうですか？
（オーブンのチーンという音）",I see?,0.25,0.496542
The cookies are done!,"（キッチンメイド）
ちょっと ペルシアさん！",A little more Persian!,0.1111111111111111,0.2063709
Looks like they've been burnt to a crisp.,"（キッチンメイド）
焼死体みたいになったわね",It became like a baked body,0.14285714285714285,0.38077664
I'm sorry. You even let me use the dorm kitchen.,"すみません 寮のキッチンを
使わせてもらってるのに","Sorry, the kitchen of the dormitory
I'm asking you to use it",0.3888888888888889,0.7826197
It's fine. But haven't you been cooking since last night?,"（キッチンメイド）
いいのよ　それより昨日の夜から
ずっと作ってるんじゃない？","It's good from that night from yesterday night
Aren't you making it for a long time?",0.25,0.5917824
Why don't you rest a little?,少しは休んだら？,A little while resting?,0.3,0.668591
"Water! Wait, water is bad for oil fires, right?","み… 水！
あっ 油に水はダメよね？","Water!
There is no water in oil, right?",0.5,0.6954443
The microwave is sparking!,"（キッチンメイド）うわー！
レンジから火花が！","Wow!
Spark from the range!",0.2222222222222222,0.38225144
I left a spoon in there!,"（ペルシア）
スプーン入れっぱなしだったわ！",It was a spoon insert!,0.3,0.73061657
Persia's cooking.,ペルシアの手料理,Persian hand food,0.0,0.5993494
Well...,ほっ…,Ho ...,0.3333333333333333,0.36867392
It looks so good! I'm impressed!,"（犬塚）えっ！　うまそう！
すげえ すげえ！","!Good!
Somewhat great!",0.2,0.4404967
Persia?,え？　ペルシア？,picture?Persia?,0.6666666666666666,0.85757256
"Anyway, I'll feed you, so open your mouth.","あ～ん してあげるから
お口開けて","Oh, because I will
Open",0.21428571428571427,0.3932143
I've never even had Per's cooking.,"私だってペルちゃんの手料理
食べたことないのに","I'm Pel-chan's hand food
I have never eaten",0.2,0.4369446
I shouldn't have to put up with Inuzuka getting to eat it.,それじゃ 私に追いつけないわ,Well then I can't catch up with me,0.2222222222222222,0.16151413
The bento!,あ！　お弁当！,a! Bento!,0.5,0.8460624
I improved my time by another 0.01 sec--,"またタイムを0,01短縮した","Also time 0,01",0.09090909090909093,0.5137029
What in the--?,な… 何だ!?,... what!?,0.2857142857142857,0.30192655
"Sorry, Scott! That's mine.","（ペルシア）スコット ごめん！
それ 私のなの","Scott Sorry!
That's my",0.5555555555555556,0.8941815
Lady Persia's home cooking?,（スコット）ペルシア様,Persia,0.16666666666666666,0.6480635
Yeah.,"…の手料理！
（ペルシア）うん","... Hand food!
 Yeah",0.16666666666666666,0.19378407
Could it be? You made it for me after seeing me \Ntrain in secret for the sports festival?,"まさか… 密かに体育祭の
自主トレをしている僕のために！","Masaka ... secretly a physical education festival
For me who is doing voluntary training!",0.10714285714285714,0.39301908
"How kind of you. Come, let's eat it over there!","何て お優しい方だ！
さあ あちらで食べましょう","What kind of kind person!
Let's eat it over",0.5,0.75435233
-If only time would stop right now. \N-Stop right there!,ああ このまま時が止まればいいのに…,"Oh, I should stop when this time is ...",0.10526315789473684,0.6447239
Scott!,"（スコット）ぐがが…
（ペルシア）スコット！","Gaga ...
 Scott!",0.5,0.5474861
"Inuzuka. So, you've stolen it. Now what will you do?","貴様 それを奪ってどうする気だ？
（犬塚）あ？","You're worried about taking it away?
?",0.16666666666666666,0.33772206
Do you intend to violate the bento Lady Persia made?,"ペルシア様の作ったお弁当を
蹂躙(じゅうりん)する気か！","A lunch box made of Persia
I wonder if you want to do it!",0.2380952380952381,0.48278195
That's right.,そ… そうだぜ,That's right ...,0.6,0.83020455
You bastard!,（スコット）貴様！,You!,0.6666666666666666,0.5531696
"Scott, let me handle--",スコット！　ここは私が…,Scott!This is me ...,0.2,0.6354278
No. Please stand back.,（スコット）いえ お下がりください,Please go down,0.14285714285714285,0.36277142
I'll be the one to dispose of him.,"（ペルシア）な… 何で
お弁当一つでこんなことに？","... what
What is one of the lunch boxes?",0.1875,0.10863318
"You want to go, you goldfish turd?",やれんのか？　金魚のフン野郎,Are you ready?Goldfish Fun,0.2727272727272727,0.65132076
Handle!,ファンデヴ！,Fandeb!,0.3333333333333333,0.3316891
A telegraphed punch won't work!,そんな大振り 当たらない！,Such a big swing!,0.2,0.22676827
Weaklings should go sleep peacefully.,ザコはおとなしく寝てろ,Zako sleeps quietly,0.0,0.4168559
Did you call me a weakling?,ザコ… だと？,Zako ...?,0.1111111111111111,0.21172301
Let me correct you!,訂正しろ！,Correct it!,0.3333333333333333,0.66516244
It's my duty to be Lady Persia's shield.,"僕の使命は
ペルシア様の盾となることだ","My mission is
It will be a Persian shield",0.26666666666666666,0.6673425
I won't yield to the likes of you.,道を踏み外していた僕を,I was taking out the road,0.14285714285714285,0.07906899
Lady Persia saved me when I'd strayed from the path.,ペルシア様は救ってくれた,Persia was saved,0.15384615384615385,0.6945118
"-That's right. If not for her, I'd have-- \N-Shut up.",そう あの時 彼女がいなければ…,"Oh, if she is not ...",0.15789473684210525,0.44676855
I don't give a rat's ass about your past.,テメエの過去なんて興味ねえ！,I'm interested in Temee's past!,0.17647058823529413,0.13386002
Give it back already!,な！,NS!,0.16666666666666666,0.24037783
You're overdoing it!,（スコット）フギャーッ！,Fogy!,0.16666666666666666,0.21178041
I can't give up yet!,（犬塚）まだだ 諦めるな！,Do not give up yet!,0.4444444444444444,0.86861104
The moment I give up...,諦めたら そこで…,If you give up there ...,0.3333333333333333,0.62148845
our lunch is over!,お昼終了だ！,It is end of lunch!,0.375,0.78137815
Persia's hand cooked food...,"ペ… ペルシアの手料理が
ブタの餌に…","Persia's hand food
For pig food ...",0.625,0.8745979
The bento...,そ… そんな… お弁当が… うっ,So ... Such ... Lunch is ...,0.14285714285714285,0.12423682
I feel a little contrite.,ちょっと反省かしら,A little reflection,0.2857142857142857,0.34233132
The truth is...,（ペルシア）あ…,A ...,0.2,0.23905596
I'd never done it before so I couldn't cook anything.,"料理なんてしたことないから
うまく作れなくて","Because I have never been cooked
I can not make it well",0.15,0.6512296
"But, I didn't want to disappoint you...","でも犬塚をがっかりさせたくなくて
それで…","But I do not want to make the Inizuka disappointed
So ...",0.29411764705882354,0.41593942
so I had the kitchen maid make that bento for me!,"あのお弁当はキッチンメイドさんに
作ってもらったの！","That lunch box is a kitchen maid
I got it!",0.2777777777777778,0.5786384
I'm sorry I didn't tell you!,"（犬塚）すまない！
（ペルシア）ごめんなさい！","I'm sorry!
 I'm sorry!",0.5,0.5899004
were fighting over the kitchen maid's bento?,"（犬塚）
じゃあ俺たちは キッチンメイドの
弁当を取り合ってたのか？","Well then we are her kitchen maid
Did you have a lunch box?",0.15,0.43252066
Don't do battle over me!,私のために争わないで～！,Don't fight for me!,0.5,0.7763806
If you want something handmade so badly...,"（ペルシア）
そんなに手作りがいいのなら…",If it is so handmade ...,0.4,0.7849534
They're handmade cookies.,手作りクッキー,Handmade cookie,0.16666666666666666,0.83137184
